judgment,notes,photo_id,title,url
Great,Aerial view,730718f-c,Bridges - Brooklyn Bridge - Manhattan Bridge - [New York Steam Corporation.],http://digitalgallery.nypl.org/nypldigital/id?730718f
Great,sidewalk scene,714705f-a,Manhattan: 86th Street (East) - 3rd Avenue,http://digitalgallery.nypl.org/nypldigital/id?714705f
Meh,,702404f-c,Brooklyn: 5th Avenue - 21st Street,http://digitalgallery.nypl.org/nypldigital/id?702404f
Meh,,722373f,Manhattan: Park Avenue - 93rd Street,http://digitalgallery.nypl.org/nypldigital/id?722373f
Meh,,733753f-b,East River - Shore and skyline of lower Manhattan - South Ferry - Williamsburg Bridge.,http://digitalgallery.nypl.org/nypldigital/id?733753f
Meh,,719956f-c,Manhattan: Fulton Street - Nassau Street,http://digitalgallery.nypl.org/nypldigital/id?719956f
Meh,,1509511-a,"Bedford Avenue - Madison Street, northeast corner",http://digitalgallery.nypl.org/nypldigital/id?1509511
Meh,,722034f-a,Manhattan: Park Avenue - 34th Street (East),http://digitalgallery.nypl.org/nypldigital/id?722034f
Meh,,700007f-a,Bronx: 3rd Avenue - 144th Street (East),http://digitalgallery.nypl.org/nypldigital/id?700007f
Meh,,712613f-a,Manhattan: 40th Street (East) - 3rd Avenue,http://digitalgallery.nypl.org/nypldigital/id?712613f
Meh,,722338f-a,Manhattan: Park Avenue - 73rd Street,http://digitalgallery.nypl.org/nypldigital/id?722338f
Meh,,703569f-a,Brooklyn: St. Edwards Street - Park Avenue,http://digitalgallery.nypl.org/nypldigital/id?703569f
Meh,,700862f-a,Bronx: Dewey Avenue - 177th Street (East),http://digitalgallery.nypl.org/nypldigital/id?700862f
Meh,,718241f-a,Manhattan: Central Park - The Lake,http://digitalgallery.nypl.org/nypldigital/id?718241f
Meh,,720635f,Manhattan: Irving Place - 17th Street (East).,http://digitalgallery.nypl.org/nypldigital/id?720635f
Great,people on a porch,726358f-c,Queens: Colonial Avenue - Nassau Boulevard,http://digitalgallery.nypl.org/nypldigital/id?726358f
Meh,,720427f-c,Manhattan: High Bridge Park - [173rd Street (West).],http://digitalgallery.nypl.org/nypldigital/id?720427f
Meh,,724898f-a,Manhattan: York Avenue - 69th Street,http://digitalgallery.nypl.org/nypldigital/id?724898f
Meh,,733978f-b,East River - Piers 9-11 - Manhattan - South Street - Old Slip - Jones Lane - [American Sugar Refining Company; Municipal Building; Woolworth Building; 60 Wall Street Tower.],http://digitalgallery.nypl.org/nypldigital/id?733978f
Meh,,707182f-d,Brooklyn: Van Sicklen St. - Ave. V,http://digitalgallery.nypl.org/nypldigital/id?707182f
Meh,,713910f-a,Manhattan: 57th Street (West) - 8th Avenue,http://digitalgallery.nypl.org/nypldigital/id?713910f
Meh,,722469f-a,Manhattan: Park Street - Mulberry Street,http://digitalgallery.nypl.org/nypldigital/id?722469f
Meh,,704087f-a,Brooklyn: Elmore Place - Avenue I,http://digitalgallery.nypl.org/nypldigital/id?704087f
Great,Horse-drawn cart,719363f-a,Manhattan: Duane Street - West Street,http://digitalgallery.nypl.org/nypldigital/id?719363f
Meh,,704632f-a,Brooklyn: Glenmore Avenue - Cleveland Street,http://digitalgallery.nypl.org/nypldigital/id?704632f
Meh,,703669f-a,Brooklyn: Clinton Street - State Street,http://digitalgallery.nypl.org/nypldigital/id?703669f
Great,old-looking street w/ Coca-Cola,724321f-b,Manhattan: Weehawken Street - Christopher Street,http://digitalgallery.nypl.org/nypldigital/id?724321f
Meh,,731870f-c,Islands - Barren Island - [Horse disposal plant in Brooklyn.],http://digitalgallery.nypl.org/nypldigital/id?731870f
Meh,,722633f-a,Manhattan: Pleasant Street - 115th Street,http://digitalgallery.nypl.org/nypldigital/id?722633f
Meh,,700451f-a,Bronx: Bainbridge Avenue - 198th Street (East),http://digitalgallery.nypl.org/nypldigital/id?700451f
Meh,,704324f-b,Brooklyn: Flatbush Avenue - Avenue P,http://digitalgallery.nypl.org/nypldigital/id?704324f
Meh,,732875f,"Recreation and hobbies - School activities - Children's nature study class - [Public School No. 144, Manhattan.]",http://digitalgallery.nypl.org/nypldigital/id?732875f
Meh,,715795f-b,Manhattan: 184th Street (West) - Broadway,http://digitalgallery.nypl.org/nypldigital/id?715795f
Great,Fireman gets a medal,1517069-a,Occupations - fireman.,http://digitalgallery.nypl.org/nypldigital/id?1517069
Meh,,719556f-b,Manhattan: East River Drive - 24th Street (East),http://digitalgallery.nypl.org/nypldigital/id?719556f
Meh,,706857f-a,Brooklyn: Stanley Avenue - Sheffield Avenue,http://digitalgallery.nypl.org/nypldigital/id?706857f
Meh,,730961f-a,Bridges - Queensboro [Queensborough] Bridge.,http://digitalgallery.nypl.org/nypldigital/id?730961f
Meh,,711673f-c,Manhattan: 23rd Street (West) - 6th Avenue,http://digitalgallery.nypl.org/nypldigital/id?711673f
Meh,,731122f,Celebrations - Parades - Municipal events - Armistice - [The peace celebration at City Hall Park.],http://digitalgallery.nypl.org/nypldigital/id?731122f
Meh,,702292f-a,Brooklyn: 3rd Avenue - 36th Street.,http://digitalgallery.nypl.org/nypldigital/id?702292f
Meh,,705282f-c,Brooklyn: Kings Highway - Farragut Road,http://digitalgallery.nypl.org/nypldigital/id?705282f
Meh,,732700f-a,Public Schools - Brooklyn - P.S. 177.,http://digitalgallery.nypl.org/nypldigital/id?732700f
Meh,,728704f-a,Richmond: Clinton Avenue - Henderson Avenue,http://digitalgallery.nypl.org/nypldigital/id?728704f
Meh,,725555f-a,Queens: 63rd Street - 99th Street,http://digitalgallery.nypl.org/nypldigital/id?725555f
Meh,,720565f-a,Manhattan: Hudson Street - Christopher Street,http://digitalgallery.nypl.org/nypldigital/id?720565f
Meh,,705381f-b,Brooklyn: Lafayette Street - Hudson Avenue,http://digitalgallery.nypl.org/nypldigital/id?705381f
Meh,,729560f-a,Richmond: [Staten Island] - St. Austin's Place.,http://digitalgallery.nypl.org/nypldigital/id?729560f
Meh,,701427f-c,Bronx: Major Deegan Highway - 134th Street,http://digitalgallery.nypl.org/nypldigital/id?701427f
Meh,,734329f-c,Harlem River - Bronx - Spuyten Duyvil Hill.,http://digitalgallery.nypl.org/nypldigital/id?734329f
Meh,,722224f-a,Manhattan: Park Avenue - 49th Street,http://digitalgallery.nypl.org/nypldigital/id?722224f
