photo_id,record_id,back_id,ocr_text
702198f-a,702198f,702198b,No text
702970f-d,702970f,702970b,"Albee Square, south from Willoughby -treet. In the center is the
rear of the Albee -heatre;to its left is the cupola of the Mime
Savings Pank and the ~ox Theatse tower.
View 3 shows the dwellings just beyond the parking space. View 4
is east across Willoughby Street.
P. L. Sperr  January 28, 1941
NO RPPRODUCTIONS  Views 1-4
"
706012f-b,706012f,706012b,"(1)
New Lots Ave., at the S.E. corner of Schenck Ave., showing fron
right to left the Parsonage, Sunday School, and church of the New
Lots Church (Dutch Reformed). This church was dedicated in July 1824.
May 1923.
Eugene L. Armbruster Collection.
MAY BE REPRODUCED.
(2)
The same, viewed from Jerome Street. The cemetery is visible
in the foreground.
May 1923.
Eugene L. Armbruster Collection.
MA( BE REPRODUCED.
(3)
The same, showing the church.
May 1923.
Eugene L. Armbruster Collection.
MAY BE REPRODUCED.
"
724924f-a,724924f,724924b,"York Avenue, west side, from 1753 York Avenue, above 91st Street, to
1725 York Avenue on S.W. corner of 90th Street.
1749-51 York Avenue, on the N.W. corner of 91st Street, were built
late in the 188O's, and 1745-43-41-39, the 5-story buildings on
and adjoining the S.W. corner, around 1895. 1725 York Avenue on
the S.W. corner of 90th Street, is now a cigar factory but used to
be part of St. Joseph's Orphan Asylum. The house rnumbers are the
same ones used as Avenue A numbers before 1928, when the name York
Avenue was adopted.
March 29, 1929.
P. L. Sperr.
NO REPRODUCTIONS.
Notice has been filed for the demolition of the two 4-story
structures at the N.W. corner of East 91st Street, according to the
New York Times of April 22, 1938.
"
706410f-a,706410f,706410b,No text
709457f-a,709457f,709457b,No text
729236f-a,729236f,729236b,No text
705810f-a,705810f,705810b,"Myrtle Avenue, north side, east from Carlton Avenue to
Adelphi Street, seen from underneath the Myrtle Avenue 'El.~
October 10, 1940
"
708079f-a,708079f,708079b,"West side of Third Avenue from e48th to 47th Street.
October 24t 1928.
P.L. Sperr, Photographer.
NO REPRODUCTIONS
TRE NEw 10Eg
PVBLC LERAN
ASTP LENOY AN5
NRtEN POUNDALONs
"
711889f-a,711889f,711889b,"West 28th Street, northwest side, from 6th Avenue.
P. L. Sperr  September 7, 1940
NO REPRODUCTIONS
"
720786f-a,720786f,720786b,"(1)
Lafayette (Elm) Street, east side, south frem Great Jenes, to and
including Bend Streets.
April 19, 1935.
P. L. Sperr.
NO REPRODUCTIONS.
(2)
The same, viewed in the epposite direction.
April 19, 1935.
P. L. Sperr.
NO REPRODUCTIONS.
(4)
The same as View No. 2, at an earlier date.
March i6, i34.
.P. L. Sperr.
NO REPRODUCTIONS.
"
706469f-c,706469f,706469b,"(1)
Remsen Street, at the S.E. corner of Clinton Street, showing the
Spencer Memorial Presbyterian Church.
February 22, 1930.
P. L. Sperr.
NO REPRODUCTIONS.
(2)
The same; fro another angle, showing also the Hamilton Club, at
the S.W. corner of Remsen and Clinton Streets.
September 9, 1932.
P. L. Sperr.
NO REPRODUCTIONS.
(3)
The same, a further view of Clinton Street.
May 1925.
Eugene L. Armbruster Collection.
MAY BE REPRODUCED
"
713202f-a,713202f,713202b,"417-9-21 West 44th Street, north side, between
Ninth and Tenth Avenues. At the left is a renovated 4-story
building housing units of St. Josephs Immigrant Home. This
activity occupies an adjoining building (No. 225-7) that is
not shomn here.
August 1934
Gift of Samuel Landsman
Arverne,Long Island
CREDIT LINE IMPRRATIVE
"
731876f-b,731876f,731876b,"(1) Barren Island, showing in the background
and (right) the dyke for the new airport fill.
July 5, 1931.
P. L. Sperr.
NO REPRODUCTIOES.
(2)
The sawe, another view.
Julr 5, 1931.
P. L. Sperr.
NO REPRODUOTIONS.
(3)
The sawe, fram a different angle.
Julr 5, 1931.
P. L. Sperr.
NO REPRODUCTIONS.
"
705715f-b,705715f,705715b,"Middleton Street, south from Herrison Avenue. The Tydol gas
station replaced several old frame houses.
P. L. Sperr  September 25, 1941
NO REPRODUCTIONS
N.f. corner ofMiddleton St. A Lee Ave., B'klyn.
Sept. 20, 1941
P.L. Sperr, photographer
"
708109f-a,708109f,708109b,"3Nd Avenue, to Park Avenue, 6lst Street fro, 4162.
President Borough Manhatten.
CRBTIT LI9E I(PTDTIVE.  November 28, 1921.
"
713066f-a,713066f,713066b,"42ns Street, Sth, to 7th Avenue. (Before Reconstruction).
President Borough of Manhntfen.
CRRTIT LINE TEERNTIVE.  March 22, 1920.
"
730129f-a,730129f,730129b,"General View Midtown Nanhatuan, East 40's: View 1 is east
from 45th Street and 8nderbilt Avenue towaro the East Piver
and Tudor Gity, seen in the right backaround.Cn the extreme
right is the Graybar Builcing. View P is west between East
17th Street anc East 48th Street from Third Avenue and shows
the Grand Central Palace on the left, on -exington -venue.
View 3 northeastward across 11hird Avenue and East 4Pnd
Street, showing the ''El'' and numerous loft and oifice
buildings. he building to the right of the hent-Ley Garage
Building is the Bartholomew Building.
P. L. Sperr  View 1: October 11, le17
NO REPDODUCTIONS  View 2: October Po, 19P8
View 3: July 5, 1940
"
704538f-a,704538f,704538b,"Fulton St., east ofClermont Ave., B'klyn.
May 13, 1942
P.L. Sperr, photographer
"
713823f-a,713823f,713823b,"325-373 West 56th Street, at and adjoining N.E. corner of Ninth
AVeIiie.
April. 1926.
MAY BE REPRODUCED.
"
725951f-c,725951f,725951b,"164th Street, east side, between Jamaica and 89th Avenues,
showing the First Methodist Episcopol Church of Jamaica.
164th Street was formely known as Clinton Avenue.
VView 3 shows the 165th Street side of the church.
Views 1-2: December 16, 1931
View 3-: April 1, 1932
P. L. Sperr
NO REROEU:TIONS
"
704380f-a,704380f,704380b,"2733 Pleet Street, south side, east from Flatbush Ave., extension.
In the background left, is De Bevoise Place. At the right, is seen
Lafayette Street.
April 7, 1932.
P. L. Sperr.
NO REPRODUCTIONS.
"
718670f-c,718670f,718670b,
