id,uuid,url,photo_url,date,title,alt_title,creator,subject,back_id,back_text,back_text_source,address,source,location
725403f,53d205a0-c556-012f-7546-58d385a7bc34,https://digitalcollections.nypl.org/items/510d47dd-670f-a3d9-e040-e00a18064a99,https://images.nypl.org/?id=725403f&t=w,1938,Queens: 51st Avenue - 11th Street,[],Somach Photographic Company,"{'name': [], 'temporal': [], 'geographic': ['New York (N.Y.)', 'Queens (New York, N.Y.)'], 'topic': ['Row houses']}",725403b,"10-46 51st Avenue, west of the S. W. corner of 11th Street. This is one of a group of houses of similar architecture which was torn down, together with houses comprising the rest of the block, to make way for the construction of the Queens-Midtown Tunnel.

November 11, 1938

New York City Tunnel Authority
",gpt,"51st Avenue & 11th Street, Queens, NY","Photographic views of New York City, 1870's-1970's / Queens","[40.741698, -73.952]"
728289f,8c5758b0-c55a-012f-74ae-58d385a7bc34,https://digitalcollections.nypl.org/items/510d47dd-7d90-a3d9-e040-e00a18064a99,https://images.nypl.org/?id=728289f&t=w,1930,Richmond: Alexandre Drive - Bay Street,[],"Sperr, Percy Loomis","{'name': [], 'temporal': [], 'geographic': ['New York (N.Y.)', 'Staten Island (New York, N.Y.)'], 'topic': ['Gardens', 'Gates']}",728289b,"(1) Alexandre Drive, east of Bay Street, showing gate posts near the entrance to Alexandre Lake. Alexandre Drive runs through the former J.H. Alexandre estate, ""Shore Acres"", east from Bay Street at Lyman Ave.

P. L. Sperr.

(2) A view northeastward toward the lake from Alexandre Drive.

P. L. Sperr.

(3) The ""Indian Council Rock"" on Alexandre Drive.

P. L. Sperr.

June 1930.
",gpt,"Alexandre Drive & Bay Street, Staten Island, NY","Photographic views of New York City, 1870's-1970's / Staten Island",null
725392f,500ea400-c556-012f-a119-58d385a7bc34,https://digitalcollections.nypl.org/items/510d47dd-66f9-a3d9-e040-e00a18064a99,https://images.nypl.org/?id=725392f&t=w,1925,Queens: 50th Street - 25th Avenue,[],,"{'name': [], 'temporal': [], 'geographic': ['New York (N.Y.)', 'Queens (New York, N.Y.)'], 'topic': ['Farmhouses']}",725392b,"50th Street (in line thereof) north of Twenty-fifth Avenue (in St. Michael's Cemetery, showing four views of the A. Riker farmhouse. Chas Rapelye was the owner in 1852. One Hanson was the owner from 1873 to 1891.

April 1925.
Views 1,2,3 and 4.

Eugene L. Armbruster Collection
",gpt,"50th Street & 25th Avenue, Queens, NY","Photographic views of New York City, 1870's-1970's / Queens","[40.764223, -73.903741]"
708770f,02eba1b0-c53c-012f-4365-58d385a7bc34,https://digitalcollections.nypl.org/items/510d47dc-e524-a3d9-e040-e00a18064a99,https://images.nypl.org/?id=708770f&t=w,1930,Manhattan: 5th Avenue - 42nd Street,['[500 Fifth Avenue.]'],,"{'name': [], 'temporal': [], 'geographic': ['Manhattan (New York, N.Y.)', 'New York (N.Y.)'], 'topic': ['Excavation']}",708770b,"The building of 500 5th Avenue, at north west corner 5th Avenue and 42nd Street.

Date: Feb. 1, 1930.
",gpt,"5th Avenue & 42nd Street, Manhattan, NY","Photographic views of New York City, 1870's-1970's / Manhattan","[40.753488, -73.980894]"
718560f,9d10ee60-c54b-012f-ac44-58d385a7bc34,https://digitalcollections.nypl.org/items/510d47dd-3199-a3d9-e040-e00a18064a99,https://images.nypl.org/?id=718560f&t=w,1934,Manhattan: Centre Street - Pearl Street,[],"Sperr, Percy Loomis","{'name': [], 'temporal': [], 'geographic': ['Manhattan (New York, N.Y.)', 'New York (N.Y.)'], 'topic': ['Building construction']}",718560b,"(1)
Centre Street, east side, from and including Pearl, to and including Duane Streets, as seen from Lafayette Street, showing the Federal Courts Building in process of construction.

March 6, 1934.

P. L. Sperr.

(2)
The same, at a later date

June 5, 1934.

P. L. Sperr.
",gpt,"Centre Street & Pearl Street, Manhattan, NY","Photographic views of New York City, 1870's-1970's / Manhattan","[40.71428, -74.002649]"
703920f,66c99da0-c534-012f-6f11-58d385a7bc34,https://digitalcollections.nypl.org/items/510d47dc-cbaa-a3d9-e040-e00a18064a99,https://images.nypl.org/?id=703920f&t=w,1930,Brooklyn: Avenue D - 48th Street (East),[],,"{'name': [], 'temporal': [], 'geographic': ['Brooklyn (New York, N.Y.)', 'New York', 'New York (N.Y.)', 'New York (State)'], 'topic': ['Educational facilities', 'Public schools']}",703920b,"Avenue D (right), from East 48th to East 49th Streets, showing Public School No. 208. The part on the extreme left is a new addition.
Board of Education of the City of New York		October 6, 1930
",gpt,"Avenue D & 48th Street (East), Brooklyn, NY","Photographic views of New York City, 1870's-1970's / Brooklyn","[40.642008, -73.931299]"
719956f,d48fcfd0-c54d-012f-7069-58d385a7bc34,https://digitalcollections.nypl.org/items/510d47dd-3c7f-a3d9-e040-e00a18064a99,https://images.nypl.org/?id=719956f&t=w,1928,Manhattan: Fulton Street - Nassau Street,[],"Sperr, Percy Loomis","{'name': [], 'temporal': [], 'geographic': ['Manhattan (New York, N.Y.)', 'New York (N.Y.)'], 'topic': ['Excavation']}",719956b,"(1) Fulton Street, south side, at Nassau Street. The view shows a clearance on the S.E. corner of Fulton at Nassau Streets.

July 9, 1928.

P. L. Sperr.

(2) The same, a view further eastward.

July 9, 1928.

P. L. Sperr.

(3) The same as No. 1, but at a later date and showing a building completed on the former excavation.

December 18, 1930.

P. L. Sperr.
",gpt,"Fulton Street & Nassau Street, Manhattan, NY","Photographic views of New York City, 1870's-1970's / Manhattan","[40.710239, -74.007725]"
731653f,de9b1920-c55f-012f-6048-58d385a7bc34,https://digitalcollections.nypl.org/items/510d47dd-97d2-a3d9-e040-e00a18064a99,https://images.nypl.org/?id=731653f&t=w,"1936, 1936-07",Feast of Our Lady of Mount Carmel.,['[Manhattan: 1st Avenue - 112th Street (East).]'],"Sperr, Percy Loomis","{'name': [], 'temporal': [], 'geographic': ['New York (N.Y.)'], 'topic': ['Parades & processions']}",731653b,"Masses of candles being carried by the marchers in the parade of the Feast of Our Lady of Mt. Carmel. View 1 is at First Ave. and East 112th Street, while 2 and 3 are at East 113th Street.

July 16, 1936.

P. L. Sperr.
",gpt,"1st Avenue and 112th Street (East), Manhattan, N.Y.","Photographic views of New York City, 1870's-1970's / Topics","[40.793454, -73.937267]"
417298,ce292100-c611-012f-20f6-58d385a7bc34,https://digitalcollections.nypl.org/items/510d47da-d850-a3d9-e040-e00a18064a99,https://images.nypl.org/?id=417298&t=w,,Typical floor plans of The Strathmore.,[],,"{'name': [], 'temporal': [], 'geographic': ['New York', 'New York (State)'], 'topic': ['Apartment houses', 'Dwellings']}",,,,"Strathmore., Manhattan, NY","The World's loose leaf album of apartment houses, containing views and ground plans of the principal high class apartment houses in New York City, together with a map showing the situation of these houses, transportation facilities, etc.",null
711506f,72890450-c540-012f-e1ad-58d385a7bc34,https://digitalcollections.nypl.org/items/510d47dc-fa89-a3d9-e040-e00a18064a99,https://images.nypl.org/?id=711506f&t=w,1932,Manhattan: 10th Avenue - 44th Street,[],"Sperr, Percy Loomis","{'name': [], 'temporal': [], 'geographic': ['Manhattan (New York, N.Y.)', 'New York (N.Y.)'], 'topic': ['Cobblestone streets', 'Restaurants']}",711506b,"18th Street, south side, east from and including Tenth Avenue. July 16, 1932.

P. L. Sperr.
",gpt,"10th Avenue & 44th Street, Manhattan, NY","Photographic views of New York City, 1870's-1970's / Manhattan","[40.760934, -73.994531]"
709238f,c3e692a0-c53c-012f-ff4e-58d385a7bc34,https://digitalcollections.nypl.org/items/510d47dc-e8cd-a3d9-e040-e00a18064a99,https://images.nypl.org/?id=709238f&t=w,1939,Manhattan: 6th Avenue,[],"Herries, William","{'name': [], 'temporal': [], 'geographic': ['Manhattan (New York, N.Y.)', 'New York', 'New York (N.Y.)', 'New York (State)'], 'topic': ['Elevated railroads']}",709238b,"Sixth Avenue: Under the Sixth Avenue ""El,"" at an unidentified location
William Herries
March, 1939
",gpt,"6th Avenue, Manhattan, NY","Photographic views of New York City, 1870's-1970's / Manhattan",null
1558529,93f1cbb0-c5ed-012f-da92-58d385a7bc34,https://digitalcollections.nypl.org/items/510d47e2-c39b-a3d9-e040-e00a18064a99,https://images.nypl.org/?id=1558529&t=w,,Parks - Central Park - looking west,['Central Park West - Reservoir'],Wurts Brothers,"{'name': [], 'temporal': [], 'geographic': ['Central Park (New York, N.Y.)', 'New York', 'New York (N.Y.)', 'New York (State)'], 'topic': ['Buildings, structures, etc', 'Historic buildings', 'Reservoirs']}",,,,"Central Park - looking west, Manhattan, NY","[Collection of photographs of New York City.] / [Wurts Brothers, photographer] / Subjects",null
722681f,112c9eb0-c552-012f-ac3c-58d385a7bc34,https://digitalcollections.nypl.org/items/510d47dd-51c9-a3d9-e040-e00a18064a99,https://images.nypl.org/?id=722681f&t=w,,Manhattan: Rector Street - Trinity Place,[],,"{'name': [], 'temporal': [], 'geographic': ['Manhattan (New York, N.Y.)', 'New York (N.Y.)'], 'topic': ['Postal service']}",722681b,"U.S. Express Co. Building at
N.W. Corner of Rector and Trinity Place

No Date.
",gpt,"Rector Street & Trinity Place, Manhattan, NY","Photographic views of New York City, 1870's-1970's / Manhattan","[40.70778, -74.012986]"
1508257,ffe0e8f0-c5ce-012f-8819-58d385a7bc34,https://digitalcollections.nypl.org/items/510d47e2-0474-a3d9-e040-e00a18064a99,https://images.nypl.org/?id=1508257&t=w,,"59th Street (East) - First Avenue, northeast corner",[],,"{'name': [], 'temporal': [], 'geographic': ['New York (N.Y.)'], 'topic': ['Buildings, structures, etc.']}",1508258,,,"59th Street (East) - First Avenue, northeast corner, Manhattan, NY","Photographic views of New York City, 1870's-1970's, from the collections of the New York Public Library. Supplement.  / Manhattan","[40.75962, -73.961967]"
