Street,Avenue,Lat,Lon
1,-3,,
1,-2,,
1,-1,,
1,0,,
1,1,40.723276,-73.988446
1,2,40.724286,-73.990829
1,3,,
1,4,,
1,5,,
1,6,,
2,-3,,
2,-2,40.721023,-73.981083
2,-1,40.722019,-73.983444
2,0,40.723007,-73.985748
2,1,40.72394,-73.987968
2,2,40.72493,-73.990345
2,3,,
2,4,,
2,5,,
2,6,,
3,-3,40.720674,-73.978231
3,-2,40.721677,-73.980605
3,-1,40.722671,-73.982964
3,0,40.723647,-73.985282
3,1,40.724584,-73.987502
3,2,40.725581,-73.989868
3,3,,
3,4,,
3,5,,
3,6,40.731063,-74.001411
4,-3,40.721277,-73.977788
4,-2,40.722283,-73.980161
4,-1,40.723278,-73.982524
4,0,40.724266,-73.984831
4,1,40.725203,-73.987053
4,2,40.726188,-73.989429
4,3,,
4,4,,
4,5,,
4,6,40.731706,-74.000954
5,-3,40.721885,-73.977346
5,-2,40.722887,-73.979722
5,-1,40.723882,-73.982083
5,0,40.724859,-73.984399
5,1,40.725796,-73.986623
5,2,40.7268,-73.988978
5,3,40.727753,-73.991229
5,4,,
5,5,,
5,6,,
6,-3,40.722498,-73.976893
6,-2,40.723501,-73.979275
6,-1,40.724494,-73.981637
6,0,40.725471,-73.983953
6,1,40.726409,-73.986176
6,2,40.727408,-73.988535
6,3,40.728356,-73.990788
6,4,,
6,5,,
6,6,,
7,-3,40.723078,-73.976477
7,-2,40.724079,-73.978854
7,-1,40.725073,-73.981211
7,0,40.726051,-73.983531
7,1,40.726988,-73.985753
7,2,40.727985,-73.98812
7,3,40.728938,-73.990365
7,4,,
7,5,,
7,6,,
8,-3,40.723689,-73.97603
8,-2,40.724693,-73.978407
8,-1,40.725685,-73.980768
8,0,40.726666,-73.98309
8,1,40.727599,-73.985307
8,2,40.728604,-73.987665
8,3,40.729568,-73.989905
8,4,,
8,5,40.732261,-73.996368
8,6,40.733663,-73.999523
9,-3,40.724283,-73.975598
9,-2,40.725289,-73.977973
9,-1,40.726281,-73.980333
9,0,40.727273,-73.982654
9,1,40.728205,-73.984867
9,2,40.729202,-73.987233
9,3,40.730148,-73.989482
9,4,,
9,5,40.73287,-73.99593
9,6,40.734146,-73.999182
10,-3,40.724885,-73.97517
10,-2,40.725882,-73.977541
10,-1,40.726865,-73.979913
10,0,40.727845,-73.982238
10,1,40.728779,-73.984443
10,2,40.729779,-73.986812
10,3,40.730726,-73.989061
10,4,,
10,5,40.733446,-73.995516
10,6,40.734787,-73.998713
11,-3,,
11,-2,40.726465,-73.977085
11,-1,40.727468,-73.979469
11,0,40.728446,-73.98179
11,1,40.729373,-73.983999
11,2,40.730382,-73.986374
11,3,40.731328,-73.988621
11,4,,
11,5,40.734046,-73.995064
11,6,40.735391,-73.998274
12,-3,40.726109,-73.974269
12,-2,40.727088,-73.976645
12,-1,40.728106,-73.978998
12,0,40.729086,-73.981325
12,1,40.730019,-73.983536
12,2,40.731019,-73.985909
12,3,40.731966,-73.988157
12,4,,
12,5,40.734681,-73.994601
12,6,40.736032,-73.997805
13,-3,40.726752,-73.973799
13,-2,40.72775,-73.97617
13,-1,40.728746,-73.978536
13,0,40.729725,-73.980858
13,1,40.730653,-73.983064
13,2,40.731667,-73.985437
13,3,40.732618,-73.987683
13,4,,
13,5,40.735313,-73.994118
13,6,40.736668,-73.997341
14,-3,,
14,-2,40.728443,-73.975682
14,-1,40.72944,-73.978029
14,0,40.730417,-73.980362
14,1,40.731357,-73.982557
14,2,40.732353,-73.984937
14,3,40.733298,-73.987187
14,4,,
14,5,40.736007,-73.993633
14,6,40.737361,-73.99684
14,7,40.738558,-73.99968
14,8,40.739743,-74.002495
14,9,40.740915,-74.005283
14,10,40.742145,-74.008182
14,11,40.7424762,-74.0088873
14,12,,
15,-3,,
15,-2,40.729139,-73.975187
15,-1,,
15,0,,
15,1,40.732029,-73.982061
15,2,40.733033,-73.984441
15,3,40.733982,-73.986691
15,4,,
15,5,40.736691,-73.99312
15,6,40.738044,-73.996337
15,7,40.739246,-73.999182
15,8,40.740444,-74.001988
15,9,40.741661,-74.00487
15,10,40.742834,-74.007705
15,11,40.743145,-74.008645
15,12,,
16,-3,,
16,-2,40.729771,-73.974727
16,-1,,
16,0,,
16,1,40.732664,-73.981601
16,2,,
16,3,40.734623,-73.986222
16,4,,
16,5,40.737331,-73.992654
16,6,40.738686,-73.995874
16,7,40.739881,-73.998713
16,8,40.74108,-74.001555
16,9,40.742289,-74.004432
16,10,40.74347,-74.007238
16,11,40.744046,-74.008475
16,12,,
17,-3,,
17,-2,,
17,-1,,
17,0,,
17,1,40.733259,-73.981153
17,2,40.734263,-73.983548
17,3,40.735212,-73.985794
17,4,40.736556,-73.989023
17,5,40.737924,-73.992248
17,6,40.739272,-73.995446
17,7,40.74047,-73.998287
17,8,40.741674,-74.001123
17,9,40.742883,-74.003999
17,10,40.744061,-74.006811
17,11,40.744724,-74.008351
17,12,,
18,-3,,
18,-2,,
18,-1,,
18,0,,
18,1,40.733827,-73.980737
18,2,40.734848,-73.983121
18,3,40.735799,-73.985366
18,4,40.737155,-73.988585
18,5,40.738511,-73.991806
18,6,40.73986,-73.995018
18,7,40.741056,-73.997862
18,8,40.742258,-74.000695
18,9,40.743476,-74.003581
18,10,40.744646,-74.006385
18,11,40.745491,-74.008211
18,12,,
19,-3,,
19,-2,,
19,-1,,
19,0,,
19,1,40.734425,-73.980308
19,2,40.735431,-73.982695
19,3,40.736382,-73.984943
19,4,40.737735,-73.988162
19,5,40.739098,-73.991388
19,6,40.740442,-73.994593
19,7,40.741642,-73.997434
19,8,40.742847,-74.000268
19,9,40.744056,-74.003155
19,10,40.745231,-74.00596
19,11,40.746087,-74.008009
19,12,,
20,-3,,
20,-2,40.732749,-73.974444
20,-1,,
20,0,,
20,1,40.735012,-73.979892
20,2,40.736024,-73.982265
20,3,40.736967,-73.984513
20,4,40.738321,-73.987735
20,5,40.739676,-73.990961
20,6,40.741031,-73.994167
20,7,40.742234,-73.997002
20,8,40.743429,-73.99985
20,9,40.744639,-74.002732
20,10,40.745817,-74.005534
20,11,40.746804,-74.007882
20,12,,
21,-3,,
21,-2,,
21,-1,,
21,0,,
21,1,40.735606,-73.979453
21,2,40.736612,-73.981837
21,3,40.737557,-73.984084
21,4,40.738916,-73.987301
21,5,40.740277,-73.990525
21,6,40.741629,-73.993732
21,7,40.742825,-73.99657
21,8,40.744025,-73.999413
21,9,40.745235,-74.002297
21,10,40.74641,-74.005098
21,11,40.747512,-74.007751
21,12,,
22,-3,,
22,-2,,
22,-1,,
22,0,,
22,1,40.736217,-73.979013
22,2,40.737219,-73.981398
22,3,40.738171,-73.983636
22,4,40.739526,-73.986856
22,5,40.740886,-73.990083
22,6,40.742233,-73.993292
22,7,40.743431,-73.99613
22,8,40.74463,-73.998969
22,9,40.745855,-74.001859
22,10,40.747023,-74.004653
22,11,40.748204,-74.007415
22,12,,
23,-3,,
23,-2,40.735414,-73.974969
23,-1,,
23,0,,
23,1,40.736896,-73.978541
23,2,40.737889,-73.980912
23,3,40.738838,-73.983149
23,4,40.740192,-73.986357
23,5,40.741551,-73.989597
23,6,40.74291,-73.992798
23,7,40.744107,-73.995638
23,8,40.745305,-73.998472
23,9,40.746521,-74.00135
23,10,40.747703,-74.004164
23,11,40.748891,-74.007003
23,12,,
24,-3,,
24,-2,,
24,-1,,
24,0,,
24,1,40.737559,-73.978048
24,2,40.738556,-73.980428
24,3,40.7395,-73.982669
24,4,40.74085,-73.985883
24,5,40.742219,-73.989107
24,6,40.743568,-73.992318
24,7,40.744765,-73.995159
24,8,40.745965,-73.99799
24,9,40.747171,-74.000868
24,10,40.748355,-74.003684
24,11,40.749535,-74.0065
24,12,40.750245,-74.008395
25,-3,,
25,-2,,
25,-1,,
25,0,,
25,1,40.73817,-73.977605
25,2,40.739181,-73.979975
25,3,40.740125,-73.982216
25,4,40.741479,-73.985434
25,5,40.742832,-73.988662
25,6,40.744186,-73.991871
25,7,40.745383,-73.994709
25,8,40.74658,-73.99755
25,9,40.747791,-74.000422
25,10,40.748974,-74.003236
25,11,40.750178,-74.006071
25,12,,
26,-3,,
26,-2,,
26,-1,,
26,0,,
26,1,40.738796,-73.977148
26,2,40.739795,-73.979531
26,3,40.740751,-73.981765
26,4,40.742098,-73.984982
26,5,40.743457,-73.988191
26,6,40.744819,-73.991409
26,7,40.746018,-73.994253
26,8,40.747217,-73.997085
26,9,40.74843,-73.999957
26,10,40.749611,-74.002775
26,11,40.750808,-74.005622
26,12,40.751739,-74.007942
27,-3,,
27,-2,,
27,-1,,
27,0,,
27,1,40.73941,-73.9767
27,2,40.740419,-73.979088
27,3,40.741363,-73.981321
27,4,40.742716,-73.984532
27,5,40.744067,-73.987745
27,6,40.745421,-73.990968
27,7,40.746618,-73.993813
27,8,40.747836,-73.996634
27,9,,
27,10,40.750229,-74.002314
27,11,40.751404,-74.005177
27,12,40.752403,-74.007578
28,-3,,
28,-2,,
28,-1,,
28,0,,
28,1,40.740106,-73.976195
28,2,40.741043,-73.978642
28,3,40.741981,-73.980871
28,4,40.743337,-73.98408
28,5,40.744678,-73.987301
28,6,40.746038,-73.990518
28,7,40.747236,-73.993362
28,8,40.748435,-73.996192
28,9,40.749659,-73.999065
28,10,40.750828,-74.001882
28,11,40.752031,-74.004722
28,12,40.753102,-74.007316
29,-3,,
29,-2,,
29,-1,,
29,0,,
29,1,40.740646,-73.975794
29,2,40.741655,-73.97817
29,3,40.742604,-73.980416
29,4,40.743957,-73.98363
29,5,40.745301,-73.986846
29,6,40.746666,-73.990068
29,7,40.747863,-73.992905
29,8,40.749056,-73.995729
29,9,40.750275,-73.998612
29,10,40.751458,-74.001418
29,11,40.752665,-74.004269
29,12,40.753834,-74.007146
30,-3,,
30,-2,,
30,-1,,
30,0,,
30,1,40.741274,-73.975338
30,2,40.742274,-73.97772
30,3,40.743221,-73.979965
30,4,40.744572,-73.983182
30,5,40.745922,-73.986391
30,6,40.747277,-73.989617
30,7,40.748469,-73.992463
30,8,40.749674,-73.995296
30,9,40.750988,-73.998099
30,10,40.75216,-74.000919
30,11,40.753276,-74.00382
30,12,40.754513,-74.006749
31,-3,,
31,-2,,
31,-1,,
31,0,,
31,1,,
31,2,40.742894,-73.977274
31,3,40.743836,-73.979517
31,4,40.745189,-73.982732
31,5,40.746531,-73.985943
31,6,40.747896,-73.989157
31,7,40.749101,-73.992006
31,8,40.750294,-73.994845
31,9,40.751507,-73.997725
31,10,40.75269,-74.00053
31,11,,
31,12,,
32,-3,,
32,-2,,
32,-1,,
32,0,,
32,1,,
32,2,40.743505,-73.976823
32,3,40.744454,-73.979065
32,4,40.745805,-73.982277
32,5,40.747152,-73.98549
32,6,40.748508,-73.988695
32,7,40.749706,-73.991563
32,8,,
32,9,,
32,10,,
32,11,,
32,12,,
33,-3,,
33,-2,,
33,-1,,
33,0,,
33,1,40.74309,-73.974014
33,2,40.744111,-73.976385
33,3,40.745065,-73.978619
33,4,40.746427,-73.981837
33,5,40.747774,-73.985038
33,6,40.749122,-73.988235
33,7,40.750342,-73.991099
33,8,40.751532,-73.993943
33,9,40.752742,-73.996817
33,10,40.753919,-73.999634
33,11,40.755125,-74.00248
33,12,40.75631,-74.005295
34,-3,,
34,-2,,
34,-1,,
34,0,,
34,1,40.743786,-73.973508
34,2,40.744792,-73.975888
34,3,40.745739,-73.978127
34,4,40.747085,-73.98136
34,5,40.748454,-73.984545
34,6,40.749801,-73.987746
34,7,40.751009,-73.990612
34,8,40.752199,-73.993458
34,9,40.753408,-73.996318
34,10,40.754591,-73.999149
34,11,40.755782,-74.001976
34,12,40.757022,-74.004925
35,-3,,
35,-2,,
35,-1,,
35,0,,
35,1,40.744448,-73.973027
35,2,40.745455,-73.975399
35,3,40.746404,-73.977645
35,4,40.747758,-73.980861
35,5,40.749105,-73.984071
35,6,40.750457,-73.987287
35,7,40.751659,-73.990134
35,8,40.752858,-73.992976
35,9,40.754071,-73.995843
35,10,40.755257,-73.998659
35,11,40.756464,-74.001466
35,12,,
36,-3,,
36,-2,,
36,-1,,
36,0,,
36,1,40.74507,-73.972575
36,2,40.74608,-73.974939
36,3,40.747023,-73.977204
36,4,40.748388,-73.980401
36,5,40.749726,-73.983618
36,6,40.751088,-73.986824
36,7,40.752289,-73.989688
36,8,40.753478,-73.992525
36,9,40.754686,-73.995383
36,10,40.755874,-73.998209
36,11,40.757055,-74.001033
36,12,,
37,-3,,
37,-2,,
37,-1,,
37,0,,
37,1,40.745688,-73.972124
37,2,40.746685,-73.974496
37,3,40.74764,-73.976759
37,4,40.748994,-73.97996
37,5,40.750341,-73.983175
37,6,40.7517,-73.986399
37,7,40.752895,-73.989243
37,8,40.754091,-73.992079
37,9,40.755292,-73.994934
37,10,40.75648,-73.997767
37,11,40.757674,-74.000585
37,12,,
38,-3,,
38,-2,,
38,-1,,
38,0,,
38,1,40.7463,-73.971675
38,2,40.747295,-73.974055
38,3,40.74825,-73.976315
38,4,40.749603,-73.979514
38,5,40.75096,-73.982726
38,6,40.752317,-73.985947
38,7,40.753503,-73.988798
38,8,40.754707,-73.991633
38,9,40.75591,-73.994472
38,10,40.757094,-73.997322
38,11,40.758296,-74.000129
38,12,,
39,-3,,
39,-2,,
39,-1,,
39,0,,
39,1,40.746929,-73.971216
39,2,40.747935,-73.973591
39,3,40.748891,-73.975848
39,4,40.750232,-73.979056
39,5,40.751581,-73.982276
39,6,40.752944,-73.985484
39,7,40.754147,-73.988323
39,8,40.75533,-73.991177
39,9,40.756532,-73.994018
39,10,40.757743,-73.996846
39,11,40.758914,-73.999684
39,12,40.76015,-74.002646
40,-3,,
40,-2,,
40,-1,,
40,0,,
40,1,40.747553,-73.970786
40,2,40.748548,-73.973147
40,3,40.749499,-73.975404
40,4,40.75086,-73.978607
40,5,40.752205,-73.981824
40,6,40.753558,-73.98504
40,7,40.754755,-73.987888
40,8,40.755949,-73.990728
40,9,40.757154,-73.993578
40,10,40.758346,-73.996405
40,11,40.759504,-73.999225
40,12,40.760654,-74.002233
41,-3,,
41,-2,,
41,-1,,
41,0,,
41,1,40.748153,-73.970156
41,2,40.749164,-73.972701
41,3,40.750117,-73.974954
41,4,40.751466,-73.978156
41,5,40.752816,-73.98138
41,6,40.754177,-73.984596
41,7,40.755373,-73.987447
41,8,40.756567,-73.990276
41,9,40.75784,-73.993073
41,10,40.758984,-73.995941
41,11,40.760151,-73.998781
41,12,40.761319,-74.0018
42,-3,,
42,-2,,
42,-1,,
42,0,,
42,1,40.74883,-73.969853
42,2,40.749833,-73.9722
42,3,40.750773,-73.974474
42,4,,
42,5,40.753481,-73.980879
42,6,40.754842,-73.984118
42,7,40.756036,-73.986949
42,8,40.757233,-73.989791
42,9,40.758433,-73.992646
42,10,40.759626,-73.995473
42,11,40.760832,-73.998295
42,12,40.762021,-74.001198
43,-3,,
43,-2,,
43,-1,,
43,0,,
43,1,40.749491,-73.969324
43,2,40.750494,-73.971713
43,3,40.751455,-73.973955
43,4,,
43,5,40.754165,-73.980392
43,6,40.755516,-73.983624
43,7,40.75671,-73.986458
43,8,40.757912,-73.989296
43,9,40.759104,-73.992138
43,10,40.760312,-73.994972
43,11,40.7615,-73.997803
43,12,40.7626,-74.00041
44,-3,,
44,-2,,
44,-1,,
44,0,,
44,1,40.750117,-73.968869
44,2,40.751122,-73.971263
44,3,40.75207,-73.973511
44,4,,
44,5,40.754783,-73.979943
44,6,40.756142,-73.983166
44,7,40.757342,-73.986012
44,8,40.758532,-73.988843
44,9,40.759728,-73.991684
44,10,40.760925,-73.994526
44,11,40.762115,-73.997344
44,12,40.763116,-73.999685
45,-3,,
45,-2,,
45,-1,,
45,0,,
45,1,40.750751,-73.96841
45,2,40.751748,-73.970804
45,3,40.752699,-73.973049
45,4,,
45,5,40.755413,-73.979489
45,6,40.756771,-73.982712
45,7,40.757963,-73.985534
45,8,40.75916,-73.988386
45,9,40.760355,-73.991227
45,10,40.761552,-73.994069
45,11,40.76274,-73.99689
45,12,40.763629,-73.998973
46,-3,,
46,-2,,
46,-1,,
46,0,,
46,1,40.751368,-73.967959
46,2,40.752379,-73.970341
46,3,40.753327,-73.972591
46,4,40.754684,-73.975812
46,5,40.756037,-73.979023
46,6,40.75739,-73.982254
46,7,40.758597,-73.985079
46,8,40.759787,-73.987928
46,9,40.760987,-73.990767
46,10,40.762185,-73.993607
46,11,40.763367,-73.996437
46,12,40.764287,-73.998607
47,-3,,
47,-2,,
47,-1,,
47,0,,
47,1,40.751937,-73.967564
47,2,40.752989,-73.969897
47,3,40.753951,-73.97214
47,4,40.755312,-73.975354
47,5,40.756659,-73.978557
47,6,40.758016,-73.981797
47,7,40.759223,-73.984619
47,8,40.760409,-73.987475
47,9,40.761605,-73.990316
47,10,40.762803,-73.993156
47,11,40.763992,-73.995981
47,12,40.764874,-73.998048
48,-3,,
48,-2,,
48,-1,,
48,0,,
48,1,40.752452,-73.967153
48,2,40.753624,-73.969431
48,3,40.754573,-73.971683
48,4,40.755941,-73.974896
48,5,40.757283,-73.978111
48,6,40.758645,-73.981341
48,7,40.759841,-73.984174
48,8,40.761037,-73.987018
48,9,40.762233,-73.989859
48,10,40.763428,-73.992701
48,11,40.764618,-73.995522
48,12,40.765541,-73.997696
49,-3,,
49,-2,,
49,-1,,
49,0,,
49,1,40.753255,-73.966612
49,2,40.754251,-73.968978
49,3,40.7552,-73.971224
49,4,40.756563,-73.974442
49,5,40.75791,-73.977662
49,6,40.759274,-73.980883
49,7,40.760463,-73.983706
49,8,40.761668,-73.986566
49,9,40.762862,-73.989402
49,10,40.764057,-73.992242
49,11,40.76525,-73.995066
49,12,40.766164,-73.997242
50,-3,,
50,-2,,
50,-1,,
50,0,,
50,1,40.753865,-73.966136
50,2,40.754877,-73.96852
50,3,40.75583,-73.970767
50,4,40.757182,-73.97399
50,5,40.758544,-73.977206
50,6,40.759911,-73.980418
50,7,40.761095,-73.98325
50,8,40.762294,-73.986101
50,9,40.76349,-73.988943
50,10,40.764686,-73.991785
50,11,40.765878,-73.994606
50,12,40.766791,-73.996786
51,-3,,
51,-2,,
51,-1,,
51,0,,
51,1,40.754498,-73.965694
51,2,40.755504,-73.968065
51,3,40.756452,-73.970311
51,4,40.757816,-73.973527
51,5,40.759176,-73.976741
51,6,40.760525,-73.979972
51,7,40.761719,-73.982807
51,8,40.762916,-73.985648
51,9,40.764112,-73.98849
51,10,40.765309,-73.991329
51,11,40.766498,-73.994156
51,12,40.767416,-73.996327
52,-3,,
52,-2,,
52,-1,,
52,0,,
52,1,40.755131,-73.965232
52,2,40.756146,-73.967618
52,3,40.757096,-73.969845
52,4,40.758448,-73.973068
52,5,40.759799,-73.976289
52,6,40.761156,-73.979513
52,7,40.762348,-73.982347
52,8,40.763557,-73.985194
52,9,40.764753,-73.988023
52,10,40.765945,-73.990855
52,11,40.767131,-73.993687
52,12,40.768057,-73.995863
53,-3,,
53,-2,,
53,-1,,
53,0,,
53,1,40.755761,-73.964773
53,2,40.756763,-73.967166
53,3,40.757704,-73.969398
53,4,40.759062,-73.972618
53,5,40.760408,-73.975844
53,6,40.761774,-73.979063
53,7,40.762965,-73.981898
53,8,40.76416,-73.984741
53,9,40.765366,-73.987575
53,10,40.766548,-73.990425
53,11,40.767752,-73.993238
53,12,,
54,-3,,
54,-2,,
54,-1,,
54,0,,
54,1,40.756389,-73.964315
54,2,40.757381,-73.966702
54,3,40.758338,-73.96894
54,4,40.759692,-73.97216
54,5,40.761047,-73.975381
54,6,40.762399,-73.978609
54,7,40.763595,-73.981433
54,8,40.764798,-73.984269
54,9,40.765994,-73.987125
54,10,40.767183,-73.989962
54,11,40.76837,-73.992786
54,12,40.769325,-73.994943
55,-3,,
55,-2,,
55,-1,,
55,0,,
55,1,40.757021,-73.963857
55,2,40.758029,-73.966248
55,3,40.75896,-73.968491
55,4,40.760326,-73.971699
55,5,40.761676,-73.974927
55,6,40.763042,-73.978141
55,7,40.764233,-73.980972
55,8,40.76544,-73.983821
55,9,40.766637,-73.986668
55,10,40.767826,-73.989495
55,11,40.769017,-73.992322
55,12,40.769984,-73.994654
56,-3,,
56,-2,,
56,-1,,
56,0,,
