i,j,Street1,Street2,Borough,Lat,Lon
,,Front Street,Whitehall Street,Manhattan,40.70222,-74.0127
,,Bowling Green Row,Whitehall Street,Manhattan,40.70453,-74.01327
,,Marketfield Street,Whitehall Street,Manhattan,40.70462,-74.01325
,,Battery Place,Whitehall Street,Manhattan,40.70462,-74.01325
,,Coenties Slip,Front Street,Manhattan,40.702844999999996,-74.010015
,,Front Street,Moore Street,Manhattan,40.70235,-74.01212
,,Cuyler's Alley,Front Street,Manhattan,40.70323,-74.00919
,,Front Street,Jackson Street,Manhattan,40.71103,-73.98053
,,Broad Street,Front Street,Manhattan,40.70253,-74.01138
,,Front Street,Gouverneur's Lane,Manhattan,40.70428,-74.00765
,,Front Street,Jone's Lane,Manhattan,40.70447,-74.00737
,,Front Street,Pine Street,Manhattan,40.70531,-74.0062
,,Depeyster Street,Front Street,Manhattan,40.70547,-74.00599
,,Front Street,Rector Street,Manhattan,40.70641,-74.00455
,,Front Street,Roosevelt Street,Manhattan,40.70879,-73.99924
,,Front Street,Montgomery Street,Manhattan,40.7107,-73.98475
,,Front Street,Gouverneur Slip,Manhattan,40.7108,-73.983495
,,Corlears Street,Front Street,Manhattan,40.71119,-73.97829
,,Bowery,Pearl Street,Manhattan,40.71086,-74.00069
,,Cherry Street,Pearl Street,Manhattan,40.70952,-74.00154
,,Pearl Street,Vandewater Street,Manhattan,40.71125,-74.00082
,,Oak Street,Pearl Street,Manhattan,40.71086,-74.00069
,,Chambers Street,Pearl Street,Manhattan,40.7117,-74.00087
,,Pearl Street,Stone Street,Manhattan,40.70477,-74.00972
,,Old Slip,Pearl Street,Manhattan,40.704665000000006,-74.009585
,,Chatham Street,Pearl Street,Manhattan,40.7131,-74.000755
,,Broadway,Pearl Street,Manhattan,40.71576,-74.00496
,,Ferry Street,Pearl Street,Manhattan,40.70875,-74.00247
,,Hague Street,Pearl Street,Manhattan,40.71037,-74.00102
,,Pearl Street,Rose Street,Manhattan,40.7117,-74.00087
,,John Street,Pearl Street,Manhattan,40.70738,-74.00548
,,City Hall Place,Pearl Street,Manhattan,40.71374,-74.00157
,,Elm Street,Pearl Street,Manhattan,40.71509,-74.00356
,,Park Street,Pearl Street,Manhattan,40.71422,-74.00224
,,Moore Street,South Street,Manhattan,40.70167,-74.0118
,,Cuyler's Alley,South Street,Manhattan,40.70281,-74.00871
,,Jackson Street,South Street,Manhattan,40.71053,-73.98046
