Street,Avenue,Lat,Lon
1,-3,,
1,-2,,
1,-1,,
1,0,,
1,1,40.7232818,-73.9884111
1,2,40.7242997,-73.9908286
1,3,,
1,4,,
1,5,,
1,6,,
2,-3,,
2,-2,40.7210396,-73.9811021
2,-1,40.7220306,-73.9834557
2,0,40.7230145,-73.9857665
2,1,40.7239323,-73.9879578
2,2,40.7249271,-73.9903621
2,3,,
2,4,,
2,5,,
2,6,,
3,-3,40.7206889,-73.9782402
3,-2,40.721685,-73.9806207
3,-1,40.7226831,-73.9829783
3,0,40.7236548,-73.9852944
3,1,40.7245817,-73.9874952
3,2,40.7255879,-73.989893
3,3,,
3,4,,
3,5,,
3,6,40.7310719,-74.0014265
4,-3,40.7212866,-73.9777963
4,-2,40.7222908,-73.9801741
4,-1,40.7232838,-73.9825451
4,0,40.7242667,-73.9848465
4,1,40.7251936,-73.9870472
4,2,40.7261987,-73.9894438
4,3,,
4,4,,
4,5,,
4,6,40.7317091,-74.0009719
5,-3,40.7218915,-73.9773539
5,-2,40.7228481,-73.9797291
5,-1,40.7238879,-73.9820666
5,0,40.7248612,-73.98442
5,1,40.7257658,-73.9866261
5,2,40.726761,-73.9889937
5,3,,
5,4,,
5,5,,
5,6,,
6,-3,40.7224697,-73.9769019
6,-2,40.7234716,-73.9792762
6,-1,40.724462,-73.9816327
6,0,40.7254486,-73.983968
6,1,40.7263747,-73.9861706
6,2,40.727382,-73.9885461
6,3,40.728308,-73.9907223
6,4,,
6,5,,
6,6,,
7,-3,40.7230433,-73.9764622
7,-2,40.7240464,-73.9788543
7,-1,40.7250808,-73.9812322
7,0,40.7260554,-73.9835429
7,1,40.726961,-73.9857531
7,2,40.7279634,-73.9881305
7,3,40.7289111,-73.9903783
7,4,,
7,5,,
7,6,,
8,-3,40.7236577,-73.9760214
8,-2,40.7246638,-73.9784065
8,-1,40.7256804,-73.9807682
8,0,40.7266662,-73.983095
8,1,40.7275748,-73.9853065
8,2,40.7285778,-73.9876805
8,3,40.7295535,-73.9899172
8,4,,
8,5,40.7322455,-73.9963803
8,6,40.7336342,-73.9995511
9,-3,40.7242547,-73.9755923
9,-2,40.7252547,-73.9779679
9,-1,40.7262882,-73.9803296
9,0,40.7272618,-73.9826618
9,1,40.7281724,-73.9848693
9,2,40.7291746,-73.9872494
9,3,40.7301174,-73.9894735
9,4,,
9,5,40.7328437,-73.9959437
9,6,40.7341486,-73.9991785
10,-3,40.7248348,-73.9751624
10,-2,40.7258346,-73.9775424
10,-1,40.7268756,-73.9799139
10,0,40.7278523,-73.9822353
10,1,40.7287487,-73.9844522
10,2,40.7297528,-73.9868166
10,3,40.7306969,-73.9890723
10,4,,
10,5,40.733438,-73.9955166
10,6,40.7347899,-73.9987182
11,-3,40.7254456,-73.9747211
11,-2,40.7264602,-73.9771038
11,-1,40.7274453,-73.979466
11,0,40.728415,-73.9817809
11,1,40.7293534,-73.9840123
11,2,40.730363,-73.9863812
11,3,40.7313075,-73.9886353
11,4,,
11,5,40.7340256,-73.9950724
11,6,40.735378,-73.9982757
12,-3,40.7260768,-73.9742638
12,-2,40.72709,-73.976639
12,-1,40.7280742,-73.9790088
12,0,40.7290635,-73.9813198
12,1,40.7300043,-73.9835255
12,2,40.7310008,-73.9859207
12,3,40.7319753,-73.9881577
12,4,,
12,5,40.7346736,-73.9945869
12,6,40.7360172,-73.997813
13,-3,,
13,-2,40.7277341,-73.9761638
13,-1,40.7287453,-73.9785306
13,0,40.7297042,-73.9808523
13,1,40.730644,-73.9830695
13,2,40.7316417,-73.9854495
13,3,40.7325835,-73.9876887
13,4,,
13,5,40.7353038,-73.9941567
13,6,40.7366609,-73.9973661
14,-2,40.7284133,-73.9756787
14,-1,40.7294093,-73.9780283
14,0,40.7303991,-73.9803575
14,1,40.7313396,-73.9825657
14,2,40.7323264,-73.9849539
14,3,40.7332802,-73.9871961
14,5,40.7360158,-73.9936331
14,6,40.737368,-73.9968432
14,7,40.73856,-73.999678
14,8,40.7397433,-74.0025294
14,9,40.74085,-74.0051793
14,10,40.7421185,-74.0082146
14,11,40.7424762,-74.0088873
15,-2,40.7291064,-73.9751852
15,1,40.732017,-73.982069
15,2,40.7330208,-73.9844268
15,3,40.7339733,-73.9866954
15,5,40.7366894,-73.9931526
15,6,40.7380268,-73.9963437
15,7,40.739243,-73.999185
15,8,40.740444,-74.002019
15,9,40.7416627,-74.0049708
15,10,40.7428273,-74.0077346
15,11,40.7432466,-74.0087476
16,-2,40.7297457,-73.9747198
16,1,40.7326491,-73.9816158
16,3,40.7346104,-73.9862263
16,5,40.7373163,-73.9926676
16,6,40.7386869,-73.9958737
16,7,40.7398871,-73.9987303
16,8,40.7410712,-74.0015593
16,9,40.7422925,-74.004457
16,10,40.7434653,-74.0072547
16,11,40.7440382,-74.0085787
17,1,40.7332426,-73.9811772
17,2,40.734242,-73.9835512
17,3,40.7352013,-73.9858099
17,4,40.736518,-73.9889617
17,5,40.7379049,-73.9922319
17,6,40.7392683,-73.9954485
17,7,40.7404763,-73.9982943
17,8,40.7416646,-74.0011315
17,9,40.742887,-74.0040211
17,10,40.744061,-74.006811
17,11,40.744676,-74.0082704
18,1,40.7338178,-73.9807615
18,2,40.734834,-73.9831142
18,3,40.7357748,-73.9853714
18,4,40.7371576,-73.9886538
18,5,40.7384903,-73.9918083
18,6,40.7398526,-73.9950216
18,7,40.7410673,-73.9978679
18,8,40.742254,-74.000703
18,9,40.7434679,-74.0035894
18,10,40.7446557,-74.0063795
18,11,40.745538,-74.0083003
19,1,40.7344133,-73.980327
19,2,40.7354071,-73.9826846
19,3,40.7363627,-73.9849523
19,4,40.7376989,-73.9881202
19,5,40.7390814,-73.9913896
19,6,40.7404281,-73.9945954
19,7,40.7416504,-73.9974349
19,8,40.742839,-74.000275
19,9,40.7440493,-74.003174
19,10,40.7452343,-74.0059515
19,11,40.7460795,-74.0079996
20,-2,40.7327335,-73.9743738
20,1,40.7350013,-73.9798909
20,2,40.7359972,-73.9822652
20,3,40.7369465,-73.9845345
20,4,40.7383263,-73.9877876
20,5,40.7396658,-73.9909597
20,6,40.74102,-73.9941666
20,7,40.7422317,-73.9970149
20,8,40.7434215,-73.9998422
20,9,40.7446392,-74.0027306
20,10,40.7458183,-74.0055317
20,11,40.7467878,-74.0078617
21,1,40.7355931,-73.9794713
21,2,40.7365839,-73.9818317
21,3,40.7375374,-73.9840914
21,4,40.7388728,-73.9872694
21,5,40.7402522,-73.9905273
21,6,40.7416056,-73.9937434
21,7,40.742817,-73.9965779
21,8,40.744009,-73.999422
21,9,40.7452271,-74.0023036
21,10,40.7464045,-74.0051253
21,11,40.7475072,-74.0077462
22,1,40.736213,-73.9790154
22,2,40.7372057,-73.9813838
22,3,40.7381585,-73.9836541
22,4,40.7394834,-73.9868131
22,5,40.7408679,-73.9900992
22,6,40.742223,-73.9932895
22,7,40.7434267,-73.9961458
22,8,40.7446311,-73.9989763
22,9,40.7458471,-74.0018474
22,10,40.7470178,-74.0046633
22,11,40.7481985,-74.0074062
23,-2,40.7354436,-73.975114
23,1,40.7368841,-73.9785259
23,2,40.7378887,-73.9809049
23,3,40.7388368,-73.9831597
23,4,40.7401653,-73.9863095
23,5,40.7415481,-73.9895852
23,6,40.742903,-73.9927978
23,7,40.7441027,-73.9956435
23,8,40.7452994,-73.9984832
23,9,40.7465137,-74.0013655
23,10,40.74769,-74.004168
23,11,40.7488552,-74.006948
24,1,40.7375442,-73.9780538
24,2,40.7385414,-73.9804331
24,3,40.7394962,-73.982669
24,4,40.7408231,-73.9858438
24,6,40.7435581,-73.9923115
24,7,40.7447655,-73.9951703
24,8,40.745952,-73.998009
24,9,40.74717,-74.0008625
24,10,40.748355,-74.003684
24,11,40.749545,-74.0066488
24,12,40.7502424,-74.0083088
25,1,40.7381569,-73.9775978
25,2,40.7391612,-73.9799758
25,3,40.7400926,-73.9821985
25,4,40.7414789,-73.9854889
25,5,40.7428112,-73.9886457
25,6,40.7441722,-73.9918674
25,7,40.7453898,-73.9947094
25,8,40.746581,-73.997552
25,9,40.7477802,-74.0004341
25,10,40.7489817,-74.003246
25,11,40.7502037,-74.0061449
26,1,40.7387795,-73.9771551
26,2,40.7397731,-73.9795317
26,3,40.7407178,-73.9817567
26,4,40.7421034,-73.9850447
26,5,40.743444,-73.9882085
26,6,40.7447955,-73.9914219
26,7,40.7459988,-73.9942772
26,8,40.7472041,-73.9970975
26,9,40.748414,-73.9999965
26,10,40.749599,-74.0027998
26,11,40.7508274,-74.0056795
26,12,40.7518903,-74.0079981
27,1,40.7393956,-73.9766952
27,2,40.7403905,-73.9790718
27,3,40.7413335,-73.9813051
27,4,40.7426685,-73.9844854
27,5,40.7440656,-73.987754
27,6,40.745418,-73.9909623
27,7,40.7466232,-73.9938171
27,8,40.7478166,-73.9966529
27,10,40.7502149,-74.0023411
27,11,40.7514205,-74.0052085
27,12,40.7523991,-74.0075807
28,1,40.7400154,-73.976246
28,2,40.7410143,-73.9786318
28,3,40.7419528,-73.980861
28,4,40.7433502,-73.9841347
28,5,40.7446813,-73.9873061
28,6,40.7460245,-73.9905199
28,7,40.7472392,-73.9933645
28,8,40.7484335,-73.9962003
28,9,40.7496432,-73.9990832
28,10,40.7508349,-74.0018906
28,11,40.7520251,-74.0047541
28,12,40.7531026,-74.0073083
29,1,40.7406271,-73.9757994
29,2,40.7416321,-73.9781691
29,3,40.7425772,-73.9804096
29,4,40.7439114,-73.9835787
29,5,40.7452895,-73.9868521
29,6,40.746649,-73.9900671
29,7,40.7478614,-73.9929174
29,8,40.7490539,-73.9957485
29,9,40.7502703,-73.9986404
29,10,40.7514411,-74.001445
29,11,40.7526529,-74.00431
29,12,40.7537916,-74.0070484
30,1,40.7412687,-73.9753402
30,2,40.7422539,-73.9777306
30,3,40.7431951,-73.9799523
30,4,40.7445263,-73.9831236
30,5,40.7459153,-73.9864107
30,6,40.7472675,-73.9896202
30,7,40.7484708,-73.9924674
30,8,40.7496747,-73.9952986
30,9,40.7509146,-73.9981561
30,10,40.7519954,-74.0009354
30,11,40.7532628,-74.0038623
30,12,40.7544718,-74.0066353
31,2,40.7428747,-73.97728
31,3,40.7438203,-73.9795001
31,4,40.7451504,-73.9826835
31,5,40.7465393,-73.9859729
31,6,40.747893,-73.9891689
31,7,40.749101,-73.992006
31,8,40.7502839,-73.9948484
31,9,40.7515072,-73.9977298
31,10,40.7526633,-74.0004826
32,2,40.7434905,-73.9768253
32,3,40.744452,-73.9790704
32,4,40.74578,-73.9822186
32,5,40.7471648,-73.985504
32,6,40.7485077,-73.9887129
32,7,40.7497096,-73.991556
33,1,40.743095,-73.974015
33,2,40.7441072,-73.9763734
33,3,40.7450551,-73.9786263
33,4,40.7463913,-73.9817686
33,5,40.7477694,-73.985072
33,6,40.7491024,-73.9882558
33,7,40.7503293,-73.9911014
33,8,40.7515107,-73.9939525
33,9,40.7527253,-73.9967889
33,10,40.753918,-73.999633
33,11,40.7551012,-74.0024418
33,12,40.7563052,-74.0052989
34,1,40.7437815,-73.9735207
34,2,40.7447677,-73.9758866
34,3,40.7457167,-73.9781195
34,4,40.7471157,-73.9814401
34,5,40.7484456,-73.9845633
34,6,40.7497824,-73.9877574
34,7,40.7509948,-73.9906333
34,8,40.7521911,-73.9934722
34,9,40.7533925,-73.9963114
34,10,40.7545885,-73.9991517
34,11,40.7557999,-74.0019758
34,12,40.7569883,-74.0048081
35,1,40.7444519,-73.9730246
35,2,40.7454342,-73.9753917
35,3,40.7463827,-73.9776553
35,4,40.7477843,-73.9809492
35,5,40.7491122,-73.9840674
35,6,40.7504619,-73.9872841
35,7,40.7516739,-73.9901634
35,8,40.752857,-73.9929789
35,9,40.7540632,-73.9958443
35,10,40.7552561,-73.9986677
35,11,40.756459,-74.001521
36,1,40.7450385,-73.9725582
36,2,40.7460519,-73.9749225
36,3,40.7470175,-73.9772041
36,4,40.7484058,-73.9804992
36,5,40.7497295,-73.9836386
36,6,40.7510839,-73.98685
36,7,40.7522877,-73.9897059
36,8,40.753474,-73.992528
36,9,40.7546916,-73.9953803
36,10,40.7558792,-73.998222
36,11,40.757067,-74.001055
37,1,40.7456737,-73.9721105
37,2,40.7466783,-73.9744898
37,3,40.7476328,-73.9767483
37,4,40.7489457,-73.9798648
37,5,40.7503537,-73.9831701
37,6,40.7517002,-73.9864051
37,7,40.752907,-73.9892533
37,8,40.754091,-73.992079
37,9,40.7553174,-73.9949213
37,10,40.7565028,-73.9977661
37,11,40.7576834,-74.0005904
38,1,40.746309,-73.9716863
38,2,40.7472932,-73.974057
38,3,40.74824,-73.9763036
38,4,40.7496437,-73.9796092
38,5,40.7509601,-73.982745
38,6,40.7523203,-73.9859651
38,7,40.7535205,-73.9887892
38,8,40.754707,-73.991633
38,9,40.7559092,-73.9944915
38,10,40.7571135,-73.9973176
38,11,40.7583115,-74.0001428
39,1,40.7469242,-73.9712362
39,2,40.7479187,-73.9735954
39,3,40.7488595,-73.9758557
39,4,40.7502562,-73.9791521
39,5,40.7515863,-73.9822815
39,6,40.7529461,-73.9855202
39,7,40.7541333,-73.9883389
39,8,40.75533,-73.991177
39,9,40.7565386,-73.9940357
39,10,40.7577372,-73.996854
39,11,40.758913,-73.999679
40,1,40.7475404,-73.9707971
40,2,40.7485249,-73.973144
40,3,40.7494765,-73.9754002
40,4,40.7507916,-73.9784923
40,5,40.7522003,-73.9818336
40,6,40.753554,-73.985043
40,7,40.75475,-73.987892
40,8,40.7559504,-73.9907232
40,9,40.7571543,-73.9935881
40,10,40.7583301,-73.9963977
40,11,40.7595325,-73.999242
40,12,40.7607442,-74.002077
41,1,40.7481409,-73.9701506
41,2,40.7491624,-73.9727189
41,3,40.7500936,-73.9749504
41,4,40.7515149,-73.9782662
41,5,40.7528183,-73.9813747
41,6,40.754177,-73.984596
41,7,40.755373,-73.987447
41,8,40.756567,-73.990276
41,9,40.7578527,-73.9930905
41,10,40.7589488,-73.9959452
41,11,40.7601632,-73.9988168
41,12,40.7612836,-74.0019737
42,1,40.7488023,-73.9697041
42,2,40.7498231,-73.9722048
42,3,40.7507727,-73.9744581
42,4,40.7521624,-73.9778018
42,5,40.7534877,-73.9808944
42,6,40.7548529,-73.9841244
42,7,40.756034,-73.9869451
42,8,40.7572276,-73.989793
42,9,40.7584312,-73.992654
42,10,40.7596504,-73.9954742
42,11,40.7608476,-73.9983225
42,12,40.7619733,-74.0010765
43,1,40.7494739,-73.9693111
43,2,40.7504841,-73.9717139
43,3,40.7514409,-73.9739625
43,5,40.7541608,-73.9803992
43,6,40.7555152,-73.9836229
43,7,40.7566969,-73.9864836
43,8,40.757907,-73.9893022
43,9,40.7591092,-73.9921629
43,10,40.7603128,-73.995003
43,11,40.761518,-73.9978451
43,12,40.7625594,-74.0002853
44,1,40.7501079,-73.9688927
44,2,40.7511134,-73.9712525
44,3,40.752071,-73.9735092
44,5,40.7548003,-73.9799277
44,6,40.7561475,-73.983163
44,7,40.7573414,-73.9860032
44,8,40.7585406,-73.9888398
44,9,40.7597409,-73.9917043
44,10,40.7609335,-73.9945312
44,11,40.7621338,-73.9973885
44,12,40.7630775,-73.9995933
45,1,40.7507482,-73.9684245
45,2,40.7517421,-73.9707907
45,3,40.7526943,-73.9730398
45,5,40.7554301,-73.9794671
45,6,40.7567653,-73.9827023
45,7,40.757961,-73.9855313
45,8,40.7591625,-73.988378
45,9,40.7603676,-73.9912475
45,10,40.7615582,-73.9940582
45,11,40.7627665,-73.9969268
46,1,40.7513611,-73.9679761
46,2,40.752367,-73.9703354
46,3,40.7533142,-73.972574
46,4,40.7547305,-73.9759044
46,5,40.7560361,-73.9790201
46,6,40.7573947,-73.9822584
46,7,40.7585806,-73.9850687
46,8,40.759791,-73.987927
46,9,40.7609894,-73.9907902
46,10,40.7621935,-73.9936126
46,11,40.763385,-73.996475
46,12,40.764333,-73.9987215
47,1,40.7518401,-73.9674725
47,2,40.7529921,-73.9698797
47,3,40.7539319,-73.9721221
47,4,40.7553579,-73.9754255
47,5,40.7566601,-73.9785674
47,6,40.7580271,-73.9818061
47,7,40.7592009,-73.9846144
47,8,40.760411,-73.9874575
47,9,40.7616279,-73.9903348
47,10,40.7628133,-73.9931408
47,11,40.7640121,-73.9960221
47,12,40.7648784,-73.998051
48,1,40.7527056,-73.9671922
48,2,40.7536329,-73.9694279
48,3,40.7545607,-73.9716661
48,4,40.7559774,-73.974981
48,5,40.757289,-73.9781186
48,6,40.7586456,-73.9813552
48,7,40.7598383,-73.9841848
48,8,40.761038,-73.987015
48,9,40.7622465,-73.9898985
48,10,40.7634309,-73.9926986
48,11,40.7646274,-73.9955653
48,12,40.7655001,-73.997587
49,1,40.7532817,-73.9666691
49,2,40.7542506,-73.968974
49,3,40.7551895,-73.9712141
49,4,40.7565982,-73.9745279
49,5,40.7579171,-73.9776533
49,6,40.75927,-73.980886
49,7,40.7604566,-73.9837229
49,8,40.7616616,-73.9865631
49,9,40.7628806,-73.9894295
49,10,40.7640574,-73.9922448
49,11,40.7652593,-73.9951059
49,12,40.7662202,-73.9973417
50,1,40.7538768,-73.9661494
50,2,40.7548795,-73.9685187
50,3,40.7558255,-73.9707582
50,4,40.7571383,-73.9738891
50,5,40.7585457,-73.9771993
50,6,40.7598896,-73.9804421
50,7,40.7611038,-73.983275
50,8,40.7622891,-73.9861066
50,9,40.7634972,-73.9889964
50,10,40.7646884,-73.9917938
50,11,40.7658904,-73.9946613
50,12,40.7667431,-73.9966765
51,1,40.754499,-73.9656923
51,2,40.7555055,-73.968065
51,3,40.7564542,-73.9703087
51,4,40.7577598,-73.9734239
51,5,40.759166,-73.976748
51,6,40.7605396,-73.9799752
51,7,40.7617278,-73.9828123
51,8,40.762915,-73.985647
51,9,40.7641329,-73.9884998
51,10,40.7653098,-73.9913528
51,11,40.7665144,-73.9941846
51,12,40.7674705,-73.9964382
52,1,40.7551289,-73.9652429
52,2,40.756132,-73.967607
52,3,40.7570669,-73.9698395
52,4,40.7583897,-73.9729519
52,5,40.7597918,-73.9762889
52,6,40.7611488,-73.9795276
52,7,40.7623484,-73.9823574
52,8,40.7635447,-73.9851925
52,9,40.7647357,-73.988042
52,10,40.7659456,-73.9908983
52,11,40.7671295,-73.993723
52,12,40.7680316,-73.9957711
53,1,40.7557545,-73.9647894
53,2,40.7567606,-73.9671458
53,3,40.7576956,-73.9693831
53,4,40.759087,-73.9726994
53,5,40.7604085,-73.9758286
53,6,40.7617809,-73.9790657
53,7,40.7629724,-73.9819048
53,8,40.7641748,-73.9847444
53,9,40.765359,-73.9875868
53,10,40.7665562,-73.9904231
53,11,40.7677767,-73.9932566
54,1,40.7563852,-73.9643302
54,2,40.7573799,-73.9666835
54,3,40.7583273,-73.9689318
54,4,40.7596427,-73.9720574
54,5,40.7610362,-73.975373
54,6,40.7623979,-73.9785983
54,7,40.7636089,-73.9814355
54,8,40.7647976,-73.9842943
54,9,40.7659819,-73.987111
54,10,40.7671971,-73.9899745
54,11,40.7683954,-73.9928188
54,12,40.7694654,-73.9949919
55,1,40.7570131,-73.963871
55,2,40.7579981,-73.9662415
55,3,40.7589496,-73.9684795
55,4,40.7602823,-73.971599
55,5,40.761667,-73.9749136
55,6,40.76303,-73.9781429
55,7,40.7642247,-73.9809935
55,8,40.765418,-73.983822
55,9,40.766614,-73.9866568
55,10,40.7678074,-73.9894966
55,11,40.7690347,-73.9923529
55,12,40.7698635,-73.9943402
56,1,40.7576475,-73.963415
56,2,40.7586253,-73.9657882
56,3,40.759578,-73.9680303
56,4,40.7609779,-73.9713442
56,5,40.7622939,-73.9744579
56,6,40.7636463,-73.9776972
56,7,40.7648499,-73.9805371
56,8,40.7660501,-73.9833663
56,9,40.7672398,-73.9862103
56,10,40.7684462,-73.9890433
56,11,40.76964,-73.9919076
56,12,40.7706365,-73.9942302
57,1,40.758314,-73.9629331
57,2,40.759306,-73.9652891
57,3,40.7602627,-73.9675556
57,4,40.7616555,-73.9708424
57,5,40.7629806,-73.9739597
57,6,40.7643496,-73.9771918
57,7,40.7655479,-73.980042
57,8,40.766736,-73.9828696
57,9,40.7679312,-73.9857243
57,10,40.7691193,-73.9885587
57,11,40.770312,-73.9913902
