Street1,Street2,Borough,Lat,Lon,Nodes
100th Avenue,100th Drive,Queens,40.715094,-73.734087,42820944
100th Avenue,193rd Street,Queens,40.709038,-73.765748,42820875
100th Avenue,194th Street,Queens,40.70926,-73.764816,42820877
100th Avenue,195th Street,Queens,40.709474,-73.763923,42820879
100th Avenue,196th Street,Queens,40.709691,-73.763024,42820883
100th Avenue,197th Street,Queens,40.709906,-73.76213,42820887
100th Avenue,198th Street,Queens,40.710119,-73.761234,42820890
100th Avenue,199th Street,Queens,40.710335,-73.76034,42807391
100th Avenue,200th Street,Queens,40.710551,-73.759445,42820896
100th Avenue,201st Street,Queens,40.710765,-73.75855,42816717
100th Avenue,202nd Street,Queens,40.71098,-73.757657,42820902
100th Avenue,203rd Street,Queens,40.711197,-73.756762,42820905
100th Avenue,204th Street,Queens,40.71141,-73.755868,42820908
100th Avenue,205th Place,Queens,40.711841,-73.75408,42820914
100th Avenue,205th Street,Queens,40.711625,-73.754973,42820913
100th Avenue,207th Street,Queens,40.712269,-73.752288,42820921
100th Avenue,208th Street,Queens,40.712488,-73.751377,42820925
100th Avenue,209th Street,Queens,40.712645,-73.750715,42820929
100th Avenue,210th Street,Queens,40.712858,-73.749537,42820963
100th Avenue,217th Lane,Queens,40.714941,-73.738847,42820861
100th Avenue,217th Street,Queens,40.715626,-73.741385,42820856
100th Avenue,218th Street,Queens,40.714951,-73.737909,42820939/42820867
100th Avenue,220th Street,Queens,40.715173,-73.733411,42786275
100th Avenue,221st Street,Queens,40.71537,-73.731722,42820946
100th Avenue,222nd Street,Queens,40.715453,-73.730993,42820950
100th Avenue,224th Street,Queens,40.715674,-73.729495,42820953
100th Avenue,98th Avenue,Queens,40.715727,-73.741753,42820854
100th Avenue,99th Avenue,Queens,40.715331,-73.740281,42820859
100th Avenue,Bellaire Place,Queens,40.712754,-73.749964,42820960
100th Avenue,Francis Lewis Boulevard,Queens,40.712056,-73.75318,7770964258/7770964259
100th Avenue,Hollis Avenue,Queens,40.708908,-73.766299,42814722
100th Avenue,Springfield Boulevard,Queens,40.714963,-73.735582,42820941
100th Drive,220th Street,Queens,40.714956,-73.733567,42786279
100th Drive,221st Street,Queens,40.714693,-73.731992,42859571/42859668
100th Drive,222nd Street,Queens,40.71459,-73.731071,42915248
100th Drive,223rd Street,Queens,40.714378,-73.730195,42926666
100th Drive,224th Street,Queens,40.714281,-73.729794,42918227/2797860196
100th Place,East 10th Road,Queens,40.605773,-73.818787,42891606
100th Road,222nd Street,Queens,40.714998,-73.730906,42902923
100th Road,224th Street,Queens,40.714911,-73.729676,42902929
100th Street,101st Avenue,Queens,40.685358,-73.842177,42787542
100th Street,103rd Avenue,Queens,40.683351,-73.841196,42887491
100th Street,157th Avenue,Queens,40.663453,-73.834187,42887532
100th Street,158th Avenue,Queens,40.661783,-73.833784,42887537
100th Street,159th Avenue,Queens,40.66011,-73.833361,42873355
100th Street,160th Avenue,Queens,40.658438,-73.832949,7728361582
100th Street,23rd Avenue,Queens,40.768738,-73.870558,42877760/276059609
100th Street,24th Avenue,Queens,40.766648,-73.870173,42818437
100th Street,25th Avenue,Queens,40.764825,-73.869839,42842387
100th Street,27th Avenue,Queens,40.762716,-73.869467,7661770915
100th Street,31st Avenue,Queens,40.761008,-73.86915,42856736
100th Street,32nd Avenue,Queens,40.759188,-73.868822,42835681
100th Street,34th Avenue,Queens,40.755513,-73.868146,3779614612/42824012
100th Street,35th Avenue,Queens,40.754148,-73.867905,42887588
100th Street,37th Avenue,Queens,40.752513,-73.867265,42816115
100th Street,38th Avenue,Queens,40.750762,-73.866276,42876856
100th Street,3rd Avenue,Brooklyn,40.613681,-74.03536,42466144
100th Street,40th Road,Queens,40.748625,-73.865015,42887521
100th Street,41st Avenue,Queens,40.748136,-73.86474,42887524
100th Street,4th Avenue,Brooklyn,40.612842,-74.033655,42508257
100th Street,57th Avenue,Queens,40.738698,-73.858975,42815146
100th Street,58th Avenue,Queens,40.738122,-73.858375,42815148
100th Street,94th Avenue,Queens,40.688832,-73.843864,42887479
100th Street,95th Avenue,Queens,40.688214,-73.843564,42887484
100th Street,97th Avenue,Queens,40.687038,-73.843003,42823629
100th Street,99th Street,Queens,40.664731,-73.834536,42879363
100th Street,Astoria Boulevard,Queens,40.761989,-73.86934,7661770916/7661770917
100th Street,Atlantic Avenue,Queens,40.689399,-73.844152,42867919
100th Street,Calloway Street,Queens,40.738122,-73.858375,42815148
100th Street,Ditmars Boulevard,Queens,40.770282,-73.870698,482640648/5007472771
100th Street,Fort Hamilton Parkway,Brooklyn,40.611958,-74.031867,42461110
100th Street,Humphreys Street,Queens,40.765991,-73.870052,42887563
100th Street,Kearney Street,Queens,40.763132,-73.869541,7661770913
100th Street,Lewis Avenue,Queens,40.739923,-73.860249,42807469
100th Street,Liberty Avenue,Queens,40.681147,-73.840129,42887610
100th Street,McIntosh Street,Queens,40.764616,-73.869801,42887567
100th Street,Northern Boulevard,Queens,40.757342,-73.868484,7762094061
100th Street,Rockaway Boulevard,Queens,40.679962,-73.839521,42837590
100th Street,Spruce Street,Queens,40.749264,-73.865405,42852205
100th Street,Sutter Avenue,Queens,40.676781,-73.837982,42887613
101st Avenue,101st Street,Queens,40.685518,-73.841614,42787546
101st Avenue,102nd Street,Queens,40.685757,-73.840771,42787548
101st Avenue,103rd Street,Queens,40.685998,-73.839924,42787552
101st Avenue,104th Street,Queens,40.686243,-73.839061,42787556
101st Avenue,105th Street,Queens,40.686499,-73.838159,42787561
101st Avenue,106th Street,Queens,40.686797,-73.837108,42787569/42787564
101st Avenue,107th Street,Queens,40.687042,-73.836247,42787579/42787574
101st Avenue,108th Street,Queens,40.687287,-73.835383,42787582/42787590
101st Avenue,109th Street,Queens,40.687531,-73.834526,42787594/42787598
101st Avenue,110th Street,Queens,40.687782,-73.833642,42787601/42787604
101st Avenue,111th Street,Queens,40.688038,-73.832741,42787608
101st Avenue,112th Street,Queens,40.688291,-73.831851,42787611
101st Avenue,113th Street,Queens,40.688537,-73.830985,42787614
101st Avenue,114th Street,Queens,40.688772,-73.830161,42787618
101st Avenue,115th Street,Queens,40.689005,-73.829336,42787622
101st Avenue,116th Street,Queens,40.689239,-73.828511,42787625
101st Avenue,117th Street,Queens,40.689474,-73.827684,42787628
101st Avenue,118th Street,Queens,40.68971,-73.826855,42787632
101st Avenue,120th Street,Queens,40.690247,-73.824961,42787640
101st Avenue,121st Street,Queens,40.690545,-73.823914,42787641
101st Avenue,123rd Street,Queens,40.69084,-73.822873,42787643
101st Avenue,124th Street,Queens,40.691136,-73.821833,42787644
101st Avenue,125th Street,Queens,40.691395,-73.820922,42787648
101st Avenue,126th Street,Queens,40.691645,-73.820041,42787650
101st Avenue,127th Street,Queens,40.691894,-73.819165,42787658
101st Avenue,129th Street,Queens,40.692207,-73.818065,42787665/42787662
101st Avenue,130th Street,Queens,40.692465,-73.817154,42787667/42787670
101st Avenue,131st Street,Queens,40.692733,-73.81621,42787673
101st Avenue,132nd Street,Queens,40.692973,-73.815365,42787677
101st Avenue,133rd Street,Queens,40.693213,-73.814519,42787681
101st Avenue,134th Street,Queens,40.693453,-73.813675,42787685
101st Avenue,146th Street,Queens,40.695948,-73.804982,1412695522
101st Avenue,218th Street,Queens,40.714401,-73.738019,42787789
101st Avenue,220th Street,Queens,40.714304,-73.733851,42786284
101st Avenue,221st Street,Queens,40.713932,-73.732305,42787758
101st Avenue,222nd Street,Queens,40.713721,-73.731427,42787763
101st Avenue,223rd Street,Queens,40.71351,-73.730551,42787772
101st Avenue,224th Street,Queens,40.713304,-73.729695,42787776
101st Avenue,75th Street,Queens,40.67964,-73.862301,42787441
101st Avenue,76th Street,Queens,40.679859,-73.861498,42787443
101st Avenue,77th Street,Queens,40.680115,-73.860603,42787447
101st Avenue,78th Street,Queens,40.680365,-73.859727,42787450
101st Avenue,80th Street,Queens,40.68063,-73.858786,42787452
101st Avenue,81st Street,Queens,40.68088,-73.857907,42787455
101st Avenue,82nd Street,Queens,40.681127,-73.857043,42787458
101st Avenue,83rd Street,Queens,40.681367,-73.856198,42787463
101st Avenue,84th Street,Queens,40.681607,-73.855353,42787466
101st Avenue,85th Street,Queens,40.681851,-73.854496,42787475
101st Avenue,86th Street,Queens,40.682088,-73.853664,42787479
101st Avenue,87th Street,Queens,40.682331,-73.852819,42787484
101st Avenue,88th Street,Queens,40.682564,-73.851979,42787488
101st Avenue,89th Street,Queens,40.682809,-73.851129,42787491
101st Avenue,90th Street,Queens,40.683049,-73.850284,42787495
101st Avenue,91st Street,Queens,40.683295,-73.849422,42787498
101st Avenue,92nd Street,Queens,40.683544,-73.848543,42787503
101st Avenue,93rd Street,Queens,40.683794,-73.847662,42787509
101st Avenue,94th Street,Queens,40.684045,-73.846784,42787513
101st Avenue,95th Street,Queens,40.684579,-73.84492,42787522
101st Avenue,97th Street,Queens,40.684779,-73.844217,42787527
101st Avenue,98th Street,Queens,40.685024,-73.843354,42787531
101st Avenue,99th Street,Queens,40.685273,-73.842478,42787534
101st Avenue,Allendale Street,Queens,40.695221,-73.807504,42787720
101st Avenue,Brisbin Street,Queens,40.694978,-73.808351,42787716
