"uuid","identifier_value"
"7212ed40-c552-012f-c17a-58d385a7bc34","58088525"
"c4416880-c552-012f-b0a1-58d385a7bc34","57362026"
"c4416880-c552-012f-b0a1-58d385a7bc34","57362025"
"1e2c9190-c540-012f-4903-58d385a7bc34","57510065"
"0a16e700-c54e-012f-44cd-58d385a7bc34","57509391"
"9fa4b550-c546-012f-630f-58d385a7bc34","57538065"
"db79cb80-c546-012f-4b95-58d385a7bc34","57538066"
"22706ce0-c53d-012f-0d6e-58d385a7bc34","58153061"
"6e67b130-c564-012f-3652-58d385a7bc34","57683405"
"d46f7080-c562-012f-028e-58d385a7bc34","57693325"
"c3cc0030-c562-012f-4706-58d385a7bc34","58160652"
"e3fac1c0-c554-012f-b623-58d385a7bc34","58160646"
"e3fac1c0-c554-012f-b623-58d385a7bc34","58160647"
"052e6810-c555-012f-b4af-58d385a7bc34","58160650"
"052e6810-c555-012f-b4af-58d385a7bc34","58160648"
"030eabb0-c54e-012f-efe3-58d385a7bc34","58160655"
"cd61a310-c55d-012f-1937-58d385a7bc34","58160654"
"8966bed0-c546-012f-e4aa-58d385a7bc34","58213447"
"8966bed0-c546-012f-e4aa-58d385a7bc34","58213448"
"890e2600-c546-012f-5f05-58d385a7bc34","58217405"
"149650e0-c54f-012f-db1f-58d385a7bc34","57372905"
"22147ff0-c530-012f-6e51-58d385a7bc34","701077F"
"5c4d40c0-c546-012f-aacb-58d385a7bc34","5232936"
"cd713820-c549-012f-3d71-58d385a7bc34","717405F"
"cf4a8750-c549-012f-4b46-58d385a7bc34","717410F"
"c76bc590-c54b-012f-caea-58d385a7bc34","718673B"
"a58ad390-c54d-012f-cb13-58d385a7bc34","719849F"
"a5fd4380-c54d-012f-a0aa-58d385a7bc34","719850F"
"a5fd4380-c54d-012f-a0aa-58d385a7bc34","719850B"
"42dbb3e0-c550-012f-c99e-58d385a7bc34","721540F"
"a37d5500-c552-012f-d9b9-58d385a7bc34","723018F"
"b6eab5e0-c552-012f-e14d-58d385a7bc34","723067B"
"b73b5490-c552-012f-ba72-58d385a7bc34","723068B"
"c9ba4c10-c552-012f-9779-58d385a7bc34","723114B"
"ca03fc60-c552-012f-9d8b-58d385a7bc34","723115B"
"f93947c0-c552-012f-1ad3-58d385a7bc34","723231F"
"9c781e20-c553-012f-9c08-58d385a7bc34","723615B"
"9ce77d60-c553-012f-15ab-58d385a7bc34","723616F"
"6a7c8070-c554-012f-b329-58d385a7bc34","724111F"
"c27119b0-c53a-012f-4088-58d385a7bc34","5240247"
"c00f2cb0-c53a-012f-da25-58d385a7bc34","5240249"
"c00f2cb0-c53a-012f-da25-58d385a7bc34","5240250"
"d95eace0-c562-012f-9a4b-58d385a7bc34","57275653"
"9d54a2f0-c545-012f-3dee-58d385a7bc34","5281319"
"e00a1930-c53a-012f-2ae3-58d385a7bc34","5337618"
"bcd64390-c54b-012f-a266-58d385a7bc34","5353918"
"b481a590-c548-012f-b5a5-58d385a7bc34","56931285"
"31a71290-c542-012f-1d7d-58d385a7bc34","712540B"
"bf5b3710-c534-012f-8989-58d385a7bc34","704142B"
"bf5b3710-c534-012f-8989-58d385a7bc34","704142F"
"bf5b3710-c534-012f-8989-58d385a7bc34","58061802"
"753de440-c539-012f-18cf-58d385a7bc34","707202B"
"b4068d60-c54e-012f-b282-58d385a7bc34","5468338"
"e4514180-c554-012f-82ce-58d385a7bc34","58160645"
"052e6810-c555-012f-b4af-58d385a7bc34","58160649"
"569b9ce0-c530-012f-471e-58d385a7bc34","5004360"
"ed9e4c30-c530-012f-3958-58d385a7bc34","5004363"
"75a6c7b0-c539-012f-85f0-58d385a7bc34","707203F"
"75a6c7b0-c539-012f-85f0-58d385a7bc34","707203B"
"75fcc290-c539-012f-8f71-58d385a7bc34","707204B"
"766d0120-c539-012f-f075-58d385a7bc34","707205B"
"78bca740-c539-012f-eb48-58d385a7bc34","707211B"
"778803f0-c539-012f-0047-58d385a7bc34","707208F"
"790f9380-c539-012f-3812-58d385a7bc34","707212F"
"790f9380-c539-012f-3812-58d385a7bc34","707212B"
"77f91930-c539-012f-7e7a-58d385a7bc34","707209B"
"79fb3450-c539-012f-3feb-58d385a7bc34","707214F"
"784d6b40-c539-012f-aec8-58d385a7bc34","707210F"
"7adf5500-c539-012f-e975-58d385a7bc34","707216B"
"830417f0-c539-012f-67d5-58d385a7bc34","707236F"
"7c270040-c539-012f-624c-58d385a7bc34","707219B"
"7ceb7200-c539-012f-abf3-58d385a7bc34","707221B"
"7d59b140-c539-012f-4114-58d385a7bc34","707222F"
"8356c4e0-c539-012f-cd93-58d385a7bc34","707237F"
"7d59b140-c539-012f-4114-58d385a7bc34","707222B"
"60545e00-c53a-012f-0452-58d385a7bc34","707758F"
"7e2d3730-c539-012f-8791-58d385a7bc34","707224B"
"60ce98c0-c53a-012f-43c9-58d385a7bc34","707759F"
