SPECIFIC_MATERIAL_TYPE,SOURCE_DESCRIPTION,STANDARD_REFERENCE,CREATOR,ITEM_PAGE_PLATE,IMAGE_Permalink,DIGITAL_ID,SOURCE,LOCATION,ALTERNATE_TITLE,PUBLISHED_DATE,RECORD_ID,Borough,Address,Full Address,IMAGE_TITLE,IMG_URL,CREATED_DATE,DEPICTED_DATE,MEDIUM,ITEM_PHYSICAL_DESCRIPTION,CREATED_DATES,ALTERNATE_SOURCE_TITLE
,,1283-C10; 1283-C9; 1283-C11,"Sperr, Percy Loomis,1890-1964--Photographer",,http://digitalgallery.nypl.org/nypldigital/id?730340f,730340f,"Photographic views of New York City, 1870's-1970's / Topics","Stephen A. Schwarzman Building/Irma and Paul Milstein Division of United States History, Local History and Genealogy",[Manhattan: Cedar Street - Pearl Street - Maiden Lane ; 1 Cedar Street ; New York Steam Corporation.],,420160,,," 1 Cedar Street, Manhattan, N.Y.",General view - Cedar Street - Northeast.,http://images.nypl.org/index.php?id=730340f&t=w,1930,,,,,
,,1283-D5,"Sperr, Percy Loomis,1890-1964--Photographer",,http://digitalgallery.nypl.org/nypldigital/id?730343f,730343f,"Photographic views of New York City, 1870's-1970's / Topics","Stephen A. Schwarzman Building/Irma and Paul Milstein Division of United States History, Local History and Genealogy",[Manhattan: Cedar Street - Pearl Street ; 1 Cedar Street ; Municipal Building.],,420163,,," 1 Cedar Street, Manhattan, N.Y.",General view - Cedar Street - South.,http://images.nypl.org/index.php?id=730343f&t=w,1930,,,,,
,,1283-D2; 1283-D1,"Sperr, Percy Loomis,1890-1964--Photographer",,http://digitalgallery.nypl.org/nypldigital/id?730341f,730341f,"Photographic views of New York City, 1870's-1970's / Topics","Stephen A. Schwarzman Building/Irma and Paul Milstein Division of United States History, Local History and Genealogy",[Manhattan: Cedar Street - Pearl Street ; 1 Cedar Street ; Woolworth Building.],,420161,,," 1 Cedar Street, Manhattan, N.Y.",General view - Cedar Street - Northeast.,http://images.nypl.org/index.php?id=730341f&t=w,1930,,,,,
,,1283-D4; 1283-D3,"Sperr, Percy Loomis,1890-1964--Photographer",,http://digitalgallery.nypl.org/nypldigital/id?730342f,730342f,"Photographic views of New York City, 1870's-1970's / Topics","Stephen A. Schwarzman Building/Irma and Paul Milstein Division of United States History, Local History and Genealogy",[Manhattan: Cedar Street - Pearl Street ; 1 Cedar Street.],,420162,,," 1 Cedar Street, Manhattan, N.Y.",General view - Cedar Street - Northwest.,http://images.nypl.org/index.php?id=730342f&t=w,1930,,,,,
,,1291-D5; 1291-D4,"Sperr, Percy Loomis,1890-1964--Photographer",,http://digitalgallery.nypl.org/nypldigital/id?730518f,730518f,"Photographic views of New York City, 1870's-1970's / Topics","Stephen A. Schwarzman Building/Irma and Paul Milstein Division of United States History, Local History and Genealogy",[Manhattan: Broadway ; 102nd Street.],,420338,,," 102nd Street, Manhattan, N.Y.",Advertisements - [Advertising signs and billboards] - Advertising Broadway Theater District.,http://images.nypl.org/index.php?id=730518f&t=w,1930,,,,,
,,1396-C5; 1396-C4,,,http://digitalgallery.nypl.org/nypldigital/id?732841f,732841f,"Photographic views of New York City, 1870's-1970's / Topics","Stephen A. Schwarzman Building/Irma and Paul Milstein Division of United States History, Local History and Genealogy",[Manhattan: 61st Street (East) - 1st Avenue ; 111 East 61st Street.],,422661,,," 111 East 61st Street, Manhattan, N.Y.",Recreation and hobbies - Children playing.,http://images.nypl.org/index.php?id=732841f&t=w,1914,,,,,
,,1416-C5,"Sperr, Percy Loomis,1890-1964--Photographer",,http://digitalgallery.nypl.org/nypldigital/id?733295f,733295f,"Photographic views of New York City, 1870's-1970's / Topics","Stephen A. Schwarzman Building/Irma and Paul Milstein Division of United States History, Local History and Genealogy",[Manhattan: Columbia Street - Kane Street ; 125 Columbia Street.],,423115,,," 125 Columbia Street, Manhattan, N.Y.",Street scenes - Cigar store - Indian.,http://images.nypl.org/index.php?id=733295f&t=w,1935,,,,,
,,1348-A7,"Sperr, Percy Loomis,1890-1964--Photographer",,http://digitalgallery.nypl.org/nypldigital/id?731718f,731718f,"Photographic views of New York City, 1870's-1970's / Topics","Stephen A. Schwarzman Building/Irma and Paul Milstein Division of United States History, Local History and Genealogy",[Manhattan: Cherry Street ; 128 Cherry Street.],,421538,,," 128 Cherry Street, Manhattan, N.Y.",Feast of San Rocco [Saint Roch].,http://images.nypl.org/index.php?id=731718f&t=w,1933,,,,,
,,1342-A4,"Sperr, Percy Loomis,1890-1964--Photographer",,http://digitalgallery.nypl.org/nypldigital/id?731588f,731588f,"Photographic views of New York City, 1870's-1970's / Topics","Stephen A. Schwarzman Building/Irma and Paul Milstein Division of United States History, Local History and Genealogy",[Manhattan: Chrystie Street - 7th Avenue ; 128 Chrystie Street.],,421408,,," 128 Chrystie Street, Manhattan, N.Y.",Feast of the Crucifix.,http://images.nypl.org/index.php?id=731588f&t=w,1929?,,,,,
,,1283-A2; 1283-A1,"Sperr, Percy Loomis,1890-1964--Photographer",,http://digitalgallery.nypl.org/nypldigital/id?730330f,730330f,"Photographic views of New York City, 1870's-1970's / Topics","Stephen A. Schwarzman Building/Irma and Paul Milstein Division of United States History, Local History and Genealogy",[Manhattan: Broadway - Between 33rd and 34th Streets ; 1280-1300 Broadway - Hotel McAlpin.],,420150,,," 1280-1300 Broadway - Hotel McAlpin, Manhattan, N.Y.",General view - Broadway - Southeast.,http://images.nypl.org/index.php?id=730330f&t=w,1930,,,,,
