id,uuid,url,photo_url,date,title,alt_title,creator,subject,back_id,back_text,back_text_source,address,source,geolocatable,user_notes,latLng,location,lastQuery,borough
720724f,ff904770-c54e-012f-60d8-58d385a7bc34,https://digitalcollections.nypl.org/items/510d47dd-427f-a3d9-e040-e00a18064a99,https://images.nypl.org/?id=720724f&t=w,1935,Manhattan: Kenmare Street - Cleveland Place,,"Sperr, Percy Loomis","{'name': [], 'temporal': [], 'geographic': ['Manhattan (New York, N.Y.)', 'New York', 'New York (N.Y.)', 'New York (State)'], 'topic': ['Stores & shops']}",720724b,"Kenmare Street, north side, east from, but not including Cleveland
Place.
April 19, 1935.
L. Sperr.
",site,"Kenmare Street & Cleveland Place, Manhattan, NY","Photographic views of New York City, 1870's-1970's / Manhattan",Locatable,,"{""latLng"":""40.7214605,-73.9974008""}",null,,Manhattan
731839f,2c6f6380-c560-012f-88ac-58d385a7bc34,https://digitalcollections.nypl.org/items/510d47dd-9946-a3d9-e040-e00a18064a99,https://images.nypl.org/?id=731839f&t=w,1936,Fulton fish market in Manhattan - [Sisters observing fishermen weighing the day's catch.],,,"{'name': [], 'temporal': [], 'geographic': ['Fulton Fish Market (New York, N.Y.)', 'New York', 'New York (N.Y.)', 'New York (State)'], 'topic': ['Fish', 'Fishing boats', 'Markets', 'Piers & wharves']}",731839b,"Fulton Fish Market:  Fisherman weighing a portion of the days catch;  ""Sisters"" observing same.

About 1936.

Gift of Dr. Michael Wishengrad A.R.P.S.

Neg. # 4059",gpt,"Fulton fish market in Manhattan - [Sisters observing fishermen weighing the day's catch.], Manhattan, NY","Photographic views of New York City, 1870's-1970's / Topics",Maybe,,"{""latLng"":""40.8025894,-73.87524309999999""}",null,,Bronx
726438f,b7461ca0-c557-012f-9a01-58d385a7bc34,https://digitalcollections.nypl.org/items/510d47dd-6f20-a3d9-e040-e00a18064a99,https://images.nypl.org/?id=726438f&t=w,,Queens: Cross Island Bouleva - 6th Avenue,,"Sperr, Percy Loomis","{'name': [], 'temporal': [], 'geographic': ['New York (N.Y.)', 'Queens (New York, N.Y.)'], 'topic': []}",726438b,"Cross Island Boulevard, west side, between 6th and 7th Avenues, showing the next to the last house on the thoroughfare. The land is part of the property which A.C. Graham owned in 1891.

August 4, 1935

P. L. Sperr",gpt,"Cross Island Bouleva & 6th Avenue, Queens, NY","Photographic views of New York City, 1870's-1970's / Queens",Maybe,"This intersection no longer exists, demolished for Laguardia?","{""latLng"":""40.770773079831194,-73.76468371867674""}",null,,Queens
465522,2ef2d5c0-c612-012f-32a9-58d385a7bc34,https://digitalcollections.nypl.org/items/510d47db-9eef-a3d9-e040-e00a18064a99,https://images.nypl.org/?id=465522&t=w,,"A-Re-Co Court, Westchester Avenue and Southern Boulevard. [Bronx]",,,"{'name': [], 'temporal': [], 'geographic': ['New York', 'New York (State)'], 'topic': ['Apartment houses']}",,,,"Westchester Avenue and Southern Boulevard. [Bronx], Manhattan, NY",Apartment houses of the metropolis.,Locatable,not a photograph,"{""latLng"":""40.8246707,-73.89193809999999""}",null,,Bronx
716728f,b73a7270-c548-012f-ac89-58d385a7bc34,https://digitalcollections.nypl.org/items/510d47dd-234c-a3d9-e040-e00a18064a99,https://images.nypl.org/?id=716728f&t=w,1956,Manhattan: Bowery - Canal Street,,"Ogden, Beecher","{'name': [], 'temporal': [], 'geographic': ['Manhattan (New York, N.Y.)', 'New York (N.Y.)'], 'topic': ['Barbershops', 'Clothing stores']}",716728b,"Bowery, no. 46. Sept. 8, 1956 Photographer: Beecher Ogden, 38 Monroe St., New York 2, N.Y. ",gpt,"Bowery & 16th Street (West), Manhattan, NY","Photographic views of New York City, 1870's-1970's / Manhattan",Locatable,how is this missed?,"{""latLng"":""40.7166571,-73.9958183""}",null,,Manhattan
731586f,c3a0ce20-c55f-012f-ecac-58d385a7bc34,https://digitalcollections.nypl.org/items/510d47dd-974c-a3d9-e040-e00a18064a99,https://images.nypl.org/?id=731586f&t=w,"1931, 1936",Farming on Staten Island,,"Sperr, Percy Loomis","{'name': [], 'temporal': [], 'geographic': ['New York (N.Y.)'], 'topic': ['Croplands', 'Farms', 'Harvesting']}",731586b,"Farming on Staten Island: On the W. H. Colgan farm, 1281 Arthur Kill Road, near Woodrow Road.

View 1: January 31, 1931
Views 2, 3: May 22, 1936

P. L. Sperr",gpt,,"Photographic views of New York City, 1870's-1970's / Topics",Locatable,location only in backing text,"{""latLng"":""40.565231170756014,-74.18136853226319""}",null,,Staten Island
734246f,f0da5410-c563-012f-0ee6-58d385a7bc34,https://digitalcollections.nypl.org/items/510d47dd-ac00-a3d9-e040-e00a18064a99,https://images.nypl.org/?id=734246f&t=w,"1930, 1934",Harlem River - Bronx - 140th to 145th Streets (East) - [American Bread Wrapper Company.],,"Sperr, Percy Loomis","{'name': [], 'temporal': [], 'geographic': ['Harlem River (N.Y.)', 'New York (N.Y.)', 'New York (State)'], 'topic': ['Factories', 'Paper industry', 'Rivers']}",734246b,,,"140th to 145th Streets (East) - [American Bread Wrapper Company.], Harlem River, Bronx, NY","Photographic views of New York City, 1870's-1970's / Topics",Locatable,Harlem River and a street,"{""latLng"":""40.815591343765014,-73.9322566696808""}",null,,Manhattan
711160f,e4442500-c53f-012f-c5b5-58d385a7bc34,https://digitalcollections.nypl.org/items/510d47dc-f7d0-a3d9-e040-e00a18064a99,https://images.nypl.org/?id=711160f&t=w,1932,Manhattan: 12th Street (West) - 9th Avenue,,"Sperr, Percy Loomis","{'name': [], 'temporal': [], 'geographic': ['Manhattan (New York, N.Y.)', 'New York (N.Y.)'], 'topic': ['Garages']}",711160b,"Little West 12th Street, east from 15 Little West 12th Street to Ninth Avenue and Gansevoort Street.
July 9, 1932,
P. L. Sperr.",site,"12th Street (West) & 9th Avenue, Manhattan, NY","Photographic views of New York City, 1870's-1970's / Manhattan",Locatable,,"{""latLng"": ""40.739618,-74.006372""}","[40.739618, -74.006372]",,Manhattan
731531f,ae68ec50-c55f-012f-6d70-58d385a7bc34,https://digitalcollections.nypl.org/items/510d47dd-96de-a3d9-e040-e00a18064a99,https://images.nypl.org/?id=731531f&t=w,1940,"Ethiopian Hebrews Series, No. 44","['Manhattan: Lenox Avenue - 128th Street.', '[Royal Order of Ethiopian Hebrews.]']","Alland, Alexander","{'name': ['Commandment Keepers Ethiopian Hebrew Congregation (Harlem, New York, N.Y.)'], 'temporal': [], 'geographic': ['New York (N.Y.)'], 'topic': ['Jewish', 'Worship programs']}",731531b,"Ethiopian Hebrews Series (Royal Order of) No. 44

The leader of the ""Young Judea"" group, Miss Matthew, explains the significance of ""Succoth.""

1940

Alexander Alland",gpt,,"Photographic views of New York City, 1870's-1970's / Topics",Locatable,,"{""latLng"":""40.809721,-73.9441544""}",null,,Manhattan
700226f,f7ca1d30-c52e-012f-db19-58d385a7bc34,https://digitalcollections.nypl.org/items/510d47dc-a22d-a3d9-e040-e00a18064a99,https://images.nypl.org/?id=700226f&t=w,1940,Bronx: 177th Street - Broadway,,"Sperr, Percy Loomis","{'name': [], 'temporal': [], 'geographic': ['Bronx (New York, N.Y.)', 'New York', 'New York (N.Y.)', 'New York (State)'], 'topic': ['Elevated railroads', 'Railroad stations']}",700226b,"177 Street, e. fr. Bronx Park ""el"" sta.
Neg. no. A-1235
P. L. Sperr, photographer
June 30, 1940",gpt,"177th Street & Broadway, Bronx, NY","Photographic views of New York City, 1870's-1970's / Bronx",Locatable,Card says Bronx / Bronx Park but this intersection seems to be in Manhattan.,"{""latLng"":""40.8475479,-73.9380475""}",null,,Manhattan
